Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,"Qty Ordered Last Year","Qty Ordered This Year",Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock,Filter
,0,VLONGOFET02-CA,7109,Longos Curato Fettucine Egg Nest pasta 18x250g,Alguazas_PL Longos,751,0,Active - PL,0,0,0,0,No Movement,0,,0,0,0,0,0,0,,,,,0.00,,540,540.00,,5000,g,.0109344,0,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Fettucine Egg Nest pasta 18x250g,LC094#2020218,12.168,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,,Pantry,Gnocchi,18,Private Label - Longos,10772468047343,Yes,Yes,No,0,0,0,540,750,No Movement,0,Black
,66.00,VLONGOPAP03-CA,7108,Longos Curato Pappardelle Egg Nest pasta 18x250g,Alguazas_PL Longos,1109,0,Active - PL,0,0,0,540,135.00,0,,0,0,0,0,0,0,0.00,2,,,2.00,0.01,540,542.00,4.01,5000,g,.0109344,0,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Pappardelle Egg Nest pasta 18x250g,LC096#2020218,12.168,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,,Pantry,Gnocchi,18,Private Label - Longos,10772468047350,Yes,Yes,No,540,0,0,540,280,135.00,608,Red
,0,PRM220-GF-CA,6228,RM Lasagna Gluten Free 12x250g,Andriani,1400,0,Active,151,207,94,121,143.25,409,,410,0,0,0,0,410,2.86,,,,410.00,2.86,700,1110.00,7.75,3740,g,.009614486,410,Regina Molisana,Pasta,11243,ANDRIANI Andriani Spa,Salerno,RM Lasagna Gluten Free 12x250g,C420BD297,11.28,.0000199,.0000203,.0000238,19.9,20.3,23.8,1095,125,,5,25,,Pantry,Specialty Cuts,12,Retail,10779921002239,Yes,Yes,No,573,1615,1,74,700,143.25,645,Black
Do Not Reorder - Sell through/Make Inactive,167.00,SAPEST-135R-CA,3691,R.M. Pesto (Red) with Sundried Tomatoes 12x150g,Clas Pesto_Green Pesto,0,0,Do not Order,108,187,69,13,94.25,251,,258,0,0,0,0,258,2.74,,,,258.00,2.74,,258.00,2.74,2910,g,.003535575,258,Regina Molisana,Canned and Jarred,11521,ARTIGIANA Artigiana Genovese Srl,,R.M. Pesto (Red) with Sundried Tomatoes 12x150g,F1260192,8.64,.0000085,.0000235,.0000177,8.5,23.5,17.7,730,250,,10,25,,Pantry,Pasta and Pasta Sauce,12,Retail,10779921800538,Yes,No,Yes,377,275,7,,1,94.25,425,Red
Do Not Reorder - Sell through/Make Inactive,869.00,LEMON02-CA,3540,Limmi (VS) Lemon Juice 12x200ml,B&G SRL (Limmi)_Lemon Juice,6292,0,Do not Order,393,139,473,436,360.25,704,,753,0,0,0,0,753,2.09,,,,753.00,2.09,,753.00,2.09,2810,g,.0076551,753,Limmi - Vita Sana,Juice,540,B&G B&G Srl (Limmi),Genova,Limmi (VS) Lemon Juice 12x200ml,110CA,5.16,.0000158,.000019,.0000255,15.8,19,25.5,365,242,180,11,22,,Drinks,Shelf Stable Juices,12,Retail,641777111027,Yes,No,Yes,1441,2741,49,,1060,360.25,1622,Red
DEVIATION LABELING AND REPACKING,163.00,BACI12534834-CA,6972,Baci Egg Easter Hazelnut 6x255g,Baci_Easter Chocolate,156,0,Label,49,103,0,0,38.00,6,,8,0,0,0,0,8,0.21,,,,8.00,0.21,,8.00,0.21,1800,g,.0648,8,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Hazelnut 6x255g,12534834,55.44,.000054,.00003,.00004,54,30,40,364,100,16,2,50,,Seasonal,Chocolate,6,Retail - EASTER Chocolate,8000300419993,Yes,Yes,Yes,152,3,2,,100,38.00,171,Red
,0,BACI12439675-CA,6961,Baci Box 12Pcs Original Dark 6x150g,Baci_Chocolate,11225,1748,Label,360,874,8,431,418.25,477,,507,0,0,0,0,507,1.21,1748,803,3/23/2026,2255.00,5.39,800,3055.00,7.30,1100,g,.012614,507,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BOX 12Pcs Original Dark 6x150g,12439675,31.50,.000017,.0000265,.000028,17,26.5,28,364,100,72,2,50,,Pantry,Chocolate,6,Retail  - Chocolate,839456005457,Yes,Yes,Yes,1673,169,30,,875,418.25,1883,Black
,0,DSPBACIBOW-OT,7227,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,Baci_Displayer,100,0,Active-Displayer,0,0,0,0,No Movement,81,,81,0,0,0,0,81,,,,,81.00,,,81.00,,,,,81,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,104331486,17.16,,,,,,,9999,100,,2,50,,Pantry,Displayer,1,Displayer,,Yes,Yes,No,0,,0,,1,No Movement,0,Black
,0,BACI104936513-CA,7025,Baci Perugina Displayer Header with Base (part 1 of 2),Baci_Displayer,0,0,Active-Displayer,0,0,2,0,0.50,14,,14,0,0,0,0,14,28.00,,,,14.00,28.00,,14.00,28.00,1200,g,.0020564,14,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Perugina Displayer Header with Base (part 1 of 2),104936513,17.16,.0000097,.0000106,.00002,9.7,10.6,20,9999,100,60,2,50,,Pantry,Chocolate,1,Displayer,,Yes,Yes,No,2,0,0,,20,0.50,3,Black
,0,BACI12560167-CA,6977,Baci BAG Coffee 12x125g,Baci_Chocolate,170,0,Label,15,58,0,0,18.25,95,,96,0,0,0,0,96,5.26,,,,96.00,5.26,,96.00,5.26,1800,g,.015057504,96,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Coffee 12x125g,12560167,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,,Pantry,Chocolate,12,Retail  - Chocolate,8000300421378,Yes,Yes,Yes,73,2,1,,330,18.25,83,Black
