Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,VLONGOSGNO-CA,6616,Longos Curato Gnocchi 12x500g,Ciemme_PL Longos,Active - PL,0,0,625,0,156.25,,,,,,,,,,,,,,- None -,800,- None -,- None -,5458,g,0.0109344,,Admin Portal,Longos,Pasta,664,CIEMME Ciemme Alimentari Srl,Salerno,Longos Curato Gnocchi 12x500g,2395C,5.866,0.0000204,0.000016,0.0000335,20.4,16,33.5,365,100,,5,20,- None -,Pantry,Gnocchi,12,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,625,1696,,,800,800,,
- None -,3.5,GNOCCHI05-CA,3878,Vita Sana Gnocchi Bulk 6x1Kg,Ciemme_Gnocchi,Active,2967,3270,3485,2565,3071.75,,,8659,8659,8659,8659,8659,8659,2.82,2032,2032,4/23/2026,,- None -,7532,- None -,- None -,6480,g,0.0134028,8658,Admin Portal,Vita Sana,Pasta,664,CIEMME Ciemme Alimentari Srl,Salerno,Vita Sana Gnocchi Bulk 6x1Kg,1285,5.471,0.0000146,0.000034,0.000027,14.6,34,27,365,120,,10,12,- None -,Pantry,Gnocchi,6,Retail,1.07799E+13,Yes,Yes,Yes,- None -,12287,41669,1,,,1510,,
- None -,3.5,SAPEST-135-CA,3690,R.M. Pesto (Green) with Basil 12x150g,Clas Pesto_Green Pesto,Active,214,196,176,194,195,,,3301,3301,3301,3301,3301,3301,16.88,,,,,- None -,,- None -,- None -,3030,g,0.00381807,3291,Admin Portal,Regina Molisana,Canned and Jarred,668,CLAS Clas Spa,Genova,R.M. Pesto (Green) with Basil 12x150g,F1290362,7.68,0.000009,0.0000237,0.0000179,9,23.7,17.9,730,200,,8,25,- None -,Pantry,Pasta and Pasta Sauce,12,Retail,1.07799E+13,Yes,Yes,No,- None -,780,3214,10,,,900,,
- None -,3.5,VLONGONSWHI01-CA,3552,Longos Curato White Wine Vinegar 12x500ml,Colavita_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,12300,g,0.01748331,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato White Wine Vinegar 12x500ml,LNVINBVE500C12USA,11.4,0.000027,0.0000221,0.0000293,27,22.1,29.3,1095,102,,6,17,- None -,Pantry,Specialty Vinegars,12,Private Label - Longos,- None -,Yes,Yes,No,- None -,0,1530,,,,770,,
- None -,3.5,OCOAVOCA-CA,6883,Colavita Avocado Oil 6x750ml (Timeless),Colavita Italy_Oil,Do not Order,3,4,43,15,16.25,,,160,160,160,160,160,160,,,,,,- None -,,- None -,- None -,7360,g,0.0135135,,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Avocado Oil 6x750ml (Timeless),CLAVTM750C6CAN,49.8,0.000027,0.0000275,0.0000182,27,27.5,18.2,730,120,120,6,20,- None -,Pantry,Specialty Oils,6,Retail,1.00392E+13,Yes,No,No,- None -,65,60,160,,1,420,,
Do Not Reorder - Sell through/Make Inactive,3.5,OCOXVCERAMIC-CA,1170,Colavita EV Olive Oil Premium Italian 6x250ml (Ceramic Jar),Colavita Italy_Oil,Active,3,2,1,38,11,,,9,9,9,9,9,9,0.82,,,,,- None -,,- None -,- None -,3596,g,0.0091377,9,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Premium Italian 6x250ml (Ceramic Jar),CLEXITTRISOL250C6USA,30.9,0.0000165,0.0000284,0.0000195,16.5,28.4,19.5,,155,,5,31,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,44,15,,,9,100,,
- None -,3.5,OCOXV.75L22TIMELESS-CA,1163,Colavita Premium Italian  EV Olive Oil 6x750ml (Timeless),Colavita Italy_Oil,Active,57,61,6,36,40,,,205,205,205,205,205,205,2.78,,,,,- None -,,- None -,- None -,7332,g,0.01383726,111,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Premium Italian  EV Olive Oil 6x750ml (Timeless),CLEXEUCTM750C6CAN,30.3,0.0000271,0.0000276,0.0000185,27.1,27.6,18.5,546,120,120,6,20,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,160,1245,94,,,230,,
DEVIATION LABELING AND REPACKING,3.5,OCOSPRORG-CA,6553,Colavita Spray EV Olive Oil Organic 6x148ml,Colavita Italy_Oil,Label,27,31,1,6,16.25,,,89,89,89,89,89,89,5.48,,,,,- None -,,- None -,- None -,1270,g,0.0038502,89,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Spray EV Olive Oil Organic 6x148ml,CLEXBIMEUSR148C6CAN ,12.6,0.000023,0.0000155,0.0000108,23,15.5,10.8,365,240,,4,60,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,65,161,,,,1,,
- None -,3.5,VIRASW-CA,6149,Colavita Raspberry Wine Vinegar 12x500ml,Colavita_Vinegar,Active,3,5,5,5,4.5,,,89,89,89,89,89,89,19.78,,,,,- None -,,- None -,- None -,10640,g,0.021645,89,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Raspberry Wine Vinegar 12x500ml,CLVIRATM500C12CAN,15.6,0.000025,0.0000234,0.000037,25,23.4,37,1095,102,,6,17,- None -,Pantry,Specialty Vinegars,12,Retail,1.00392E+13,Yes,Yes,No,- None -,18,143,,,,110,,
- None -,3.5,VIBA.5-CA,1184,Colavita Balsamic Vinegar of Modena 12x500ml,Colavita_Vinegar,Active,785,685,504,337,577.75,,,1012,1012,1012,1012,1012,1012,1.72,952,952,5/6/2026,,- None -,952,- None -,- None -,11080,g,0.0176784,994,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Balsamic Vinegar of Modena 12x500ml,CLBALMTM500C12CAN,15.12,0.0000254,0.00003,0.0000232,25.4,30,23.2,1825,102,,6,17,- None -,Pantry,Balsamic Vinegar,12,Retail,1.00392E+13,Yes,Yes,Yes,- None -,2311,8582,18,,,595,,
- None -,3.5,OCOXV1TIMELESS-CA,1166,Colavita Extra Virgin Olive Oil 6x1L (Timeless),Colavita Italy_Oil,Active,7757,9349,2830,1513,5362.25,,,15222,15222,15222,15222,15222,15222,2.51,2139,2131,4/23/2026,,- None -,2139,- None -,- None -,9330,g,0.018538764,13436,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Extra Virgin Olive Oil 6x1L (Timeless),CLEXEUCTM1000C6CAN,39.9,0.0000283,0.0000212,0.0000309,28.3,21.2,30.9,546,96,96,6,16,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,21449,51150,1786,,120,2400,,
- None -,3.5,OCOXV.10L56BB-CA,6860,Colavita Pure Olive Oil Bag In Box 1x10L,Colavita USA_Oil,Active,1470,2205,436,446,1139.25,,,1183,1183,1183,1183,1183,1183,0.67,896,896,5/20/2026,,- None -,11000,- None -,- None -,9400,g,0.014329575,763,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Pure Olive Oil Bag In Box 1x10L,CLOL BG10LC1 CAN,42,0.0000325,0.0000207,0.0000213,32.5,20.7,21.3,546,72,,3,24,- None -,Pantry,Olive Oils,1,Retail,39153431850,Yes,Yes,No,- None -,4557,15762,420,,,2960,,
- None -,3.5,VLONGOSBALS02-CA,3551,Longos Curato White Vinegar of Modena 6x250ml,Colavita_PL Longos,Active - PL,0,0,0,518,129.5,,,,,,,,,,,,,,- None -,,- None -,- None -,3200,g,0.00093775,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato White Vinegar of Modena 6x250ml,LNBALMBRG250C6USA,16.14,0.0000155,0.000011,0.0000055,15.5,11,5.5,1821,259,,7,37,- None -,Pantry,Balsamic Vinegar,6,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,518,,,,,760,,
- None -,3.5,OCOXV3T-CA,1167,Colavita Extra Virgin Olive Oil 4x3L (Tin),Colavita Italy_Oil,Active,182,93,74,51,100,,,29,29,29,29,29,29,0.29,90,90,5/20/2026,,- None -,180,- None -,- None -,12330,g,0.01595724,29,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Extra Virgin Olive Oil 4x3L (Tin),CLEXEUCLA3000C4CAN,77.8,0.0000265,0.0000312,0.0000193,26.5,31.2,19.3,546,90,,5,18,- None -,Pantry,Olive Oils,4,Retail,1.00392E+13,Yes,Yes,Yes,- None -,400,1341,,,,230,,
- None -,3.5,SACOLPASS-CA,7201,Colavita Passata 6x680ml,Colavita Italy_Other,Active,865,10,174,838,471.75,,,1927,1927,1927,1927,1927,1927,4.08,,,,,- None -,,- None -,- None -,6320,g,,1927,Admin Portal,Colavita,Canned and Jarred,679,COLPOM Colavita Spa,Salerno,Colavita Passata 6x680ml,CLPOPAS BP700V6 CAN,4.32,,,,,,,1095,174,,6,29,- None -,Pantry,Tomatoes and Paste,6,Retail,- None -,Yes,Yes,No,- None -,1887,,,,,3830,,
- None -,3.5,VLONGOSBALS01-CA,3544,Longos Curato Balsamic Vinegar 12x500ml,Colavita_PL Longos,Active - PL,0,0,0,510,127.5,,,,,,,,,,,,,,- None -,,- None -,- None -,23540,g,0.001247382,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato Balsamic Vinegar 12x500ml,LNBALMGR500C12USA,15,0.0000262,0.0000069,0.0000069,26.2,6.9,6.9,1821,102,,6,17,- None -,Pantry,Balsamic Vinegar,12,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,510,714,,,,410,,
- None -,3.5,VLONGOSRED01-CA,3547,Longos Curato Red Wine Vinegar 12x500ml,Colavita_PL Longos,Active - PL,0,0,0,816,204,,,,,,,,,,,,,,- None -,,- None -,- None -,12300,g,0.01748331,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato Red Wine Vinegar 12x500ml,LNVINRVE500C12USA,11.4,0.000027,0.0000221,0.0000293,27,22.1,29.3,1095,100,,2,50,- None -,Pantry,Specialty Vinegars,12,Private Label - Longos,- None -,Yes,Yes,No,- None -,816,1734,,,,870,,
DEVIATION LABELING AND REPACKING,3.5,OCOSPRGAR-CA,6555,Colavita SPRAY EV Olive Oil GARLIC 6x148ml,Colavita Italy_Oil,Label,5,5,3,10,5.75,,,47,47,47,47,47,47,8.17,,,,,- None -,,- None -,- None -,1270,g,0.0038502,47,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Spray EV Olive Oil Garlic 6x148ml,CLAGLSR148C6CAN ,12.6,0.000023,0.0000155,0.0000108,23,15.5,10.8,365,240,,4,60,- None -,Pantry,Infused Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,23,139,,,,1,,
- None -,3.5,OCOXV.5-6pk-CA,6482,Colavita Extra Virgin Olive Oil 6x500ml (Timeless),Colavita Italy_Oil,Active,217,310,305,226,264.5,,,3933,3933,3933,3933,3933,3933,14.85,,,,,- None -,,- None -,- None -,5050,g,0.009183232,3929,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Extra Virgin Olive Oil 6x500ml (Timeless),CLEXEUCTM500C6CAN,21.3,0.0000256,0.0000236,0.0000152,25.6,23.6,15.2,546,180,180,6,30,- None -,Pantry,Olive Oils,6,Retail,1.80019E+13,Yes,Yes,Yes,- None -,1058,5583,4,,,1365,,
- None -,3.5,OCOXVBAS-CA,1168,Colavita EV Olive Oil Basil 6x250ml (Timeless),Colavita Italy_Oil,Active,19,6,16,7,12,80,80,148,148,148,148,148,148,12.33,,,,,- None -,,- None -,- None -,3090,g,0.006573696,148,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Basil 6x250ml (Timeless),CLBASTM250C6CAN,13.2,0.0000204,0.0000212,0.0000152,20.4,21.2,15.2,730,238,,7,34,- None -,Pantry,Infused Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,48,299,,,,200,,
- None -,3.5,OCOXVGRE01-CA,1174,Colavita EV Olive Oil GREEK 6x750ml (Timeless),Colavita Italy_Oil,Active,936,283,238,95,388,34,34,58,58,58,58,58,58,0.15,980,140,4/23/2026,,- None -,980,- None -,- None -,7380,g,0.013462176,58,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Greek 6x750ml (Timeless),CLEXGTM750C6CAN,33.6,0.0000268,0.0000276,0.0000182,26.8,27.6,18.2,546,140,120,7,20,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,1552,5344,,,2,700,,
- None -,3.5,VIWR003-CA,1188,Colavita Wine Vinegar Red 12x500ml,Colavita_Vinegar,Active,292,478,261,329,340,,,453,453,453,453,453,453,1.29,952,952,5/6/2026,,- None -,952,- None -,- None -,10630,g,0.0176784,437,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Wine Vinegar Red 12x500ml,CLVINRTM500C12CAN,11.64,0.0000254,0.00003,0.0000232,25.4,30,23.2,1825,102,,6,17,- None -,Pantry,Specialty Vinegars,12,Retail,1.00392E+13,Yes,Yes,Yes,- None -,1360,4773,16,,,595,,
- None -,3.5,OCOXV-ORGANIC-CA,1177,Colavita EV Olive Oil ORGANIC 6x500ml,Colavita Italy_Oil,Active,43,266,27,25,90.25,13,13,13,13,13,13,13,13,0.14,180,180,4/23/2026,,- None -,180,- None -,- None -,5030,g,0.01018248,13,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Organic 6x500ml,CLEXBIMEUTM500C6CAN,23.7,0.0000266,0.0000232,0.0000165,26.6,23.2,16.5,546,125,,5,25,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,361,915,,,,190,,
- None -,3.5,OCOXV.1L147TIMELESS-CA,7017,COL Premium ITALIAN EVOliveOil 6x1lT,Colavita Italy_Oil,Active,21,40,0,1,15.5,,,25,25,25,25,25,25,1.61,,,,,- None -,,- None -,- None -,7332,g,0.01668,25,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,COL Premium ITALIAN EVOliveOil 6x1lt,CLEXITSTM1000C6CAN,50.7,0.0000278,0.00003,0.00002,27.8,30,20,546,96,120,6,16,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,62,4,,,,110,,
- None -,3.5,OCOXVLEM-CA,1175,Colavita EV Olive Oil Lemon 6x250ml (Timeless),Colavita Italy_Oil,Active,34,6,8,10,14.5,51,51,51,51,51,51,51,51,3.52,,,,,- None -,,- None -,- None -,3090,g,0.006573696,51,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Lemon 6x250ml (Timeless),CLLIMTM250C6CAN,13.2,0.0000204,0.0000212,0.0000152,20.4,21.2,15.2,730,238,,7,34,- None -,Pantry,Infused Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,58,430,,,,160,,
- None -,3.5,VLONGOSBALS05-CA,3546,Longos Curato Balsamic Vinegar Silver 12x250ml,Colavita_PL Longos,Active - PL,0,0,0,280,70,,,4,4,4,4,4,4,0.06,,,,,- None -,,- None -,- None -,6200,g,0.006435072,4,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato Balsamic Vinegar Silver 12x250ml,LNBALMBL250C12USA,31.92,0.0000228,0.0000144,0.0000196,22.8,14.4,19.6,1821,100,,2,50,- None -,Pantry,Balsamic Vinegar,12,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,280,700,,,,330,,
- None -,3.5,OCOXVSEWC-CA,7203,Colavita EV Olive Oil The 2026 Soccer Special Edition 6x500ml,Colavita_Special,Active,658,0,0,0,164.5,,,252,252,252,252,252,252,1.53,8076,714,4/23/2026,,- None -,9920,- None -,- None -,7500,g,0.015329144,252,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil The 2026 Soccer Special Edition 6x500ml,CLEXEU WC500C6 CAN,35.7,0.0000188,0.00003455,0.0000236,18.8,34.55,23.6,540,84,,7,12,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,658,,,,,84,,
- None -,3.5,OCOXVPOR-CA,1179,Colavita EV Olive Oil PORTUGAL 6x750ml (Timeless),Colavita Italy_Oil,Do not Order,202,326,61,49,159.5,71,71,71,71,71,71,71,71,0.45,,,,,- None -,,- None -,- None -,7360,g,0.013634232,71,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Portugal 6x750ml (Timeless),CLEXPTM750C6CAN,30.9,0.0000268,0.0000278,0.0000183,26.8,27.8,18.3,730,120,120,6,20,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,No,Yes,- None -,638,751,,,,270,,
- None -,3.5,OCOXV-6PK-CA,3662,R.M. Extra Virgin Olive Oil 6x1L,Colavita Italy_Oil,Active,315,203,165,167,212.5,,,3589,3589,3589,3589,3589,3589,16.88,,,,,- None -,,- None -,- None -,8160,g,0.01776076,3586,Admin Portal,Regina Molisana,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,R.M. Extra Virgin Olive Oil 6x1L,RMEXMST1000C6CAN,40.2,0.0000251,0.0000305,0.0000232,25.1,30.5,23.2,547,100,,5,20,- None -,Pantry,Olive Oils,6,Retail,1.17799E+11,Yes,Yes,Yes,- None -,850,2116.5,3,,,610,,
- None -,3.5,OCOXV.500L71TIMELESS-CA,7016,COL Premium ITALIAN EVOliveOil 6x500ml,Colavita Italy_Oil,Active,25,0,0,1,6.5,,,107,107,107,107,107,107,16.46,,,,,- None -,,- None -,- None -,7332,g,0.009231376,107,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,COL Premium ITALIAN EVOliveOil 6x500ml,CLEXITSTM500C6CAN,27,0.0000254,0.0000236,0.0000154,25.4,23.6,15.4,547,180,120,6,30,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,26,2,,,,210,,
- None -,3.5,VLONGOSBALS03-CA,3543,Longos Curato Balsamic Glaze 12x250ml,Colavita_PL Longos,Active - PL,0,0,0,384,96,,,,,,,,,,,,,,- None -,384,- None -,- None -,9140,g,0.007120224,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato Balsamic Glaze 12x250ml,LNBALMSQ250C12USA,24.84,0.0000201,0.0000164,0.0000216,20.1,16.4,21.6,1821,192,,6,32,- None -,Pantry,Balsamic Vinegar,12,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,384,576,,,384,480,,
- None -,3.5,FPIP254-CA,3649,R.M. Artichokes Grilled 12x580g,Colavita Italy_Other,Active,67,9,29,34,34.75,,,56,56,56,56,56,56,1.5,121,121,4/30/2026,,- None -,121,- None -,- None -,10260,g,0.014665112,52,Admin Portal,Regina Molisana,Condiments and Toppings,679,COLPOM Colavita Spa,Salerno,R.M. Artichokes Grilled 12x580g,MCG31VT500C12,39,0.0000154,0.0000266,0.0000358,15.4,26.6,35.8,730,110,,10,11,- None -,Pantry,Pickles and Antipasto,12,Retail,1.07799E+13,Yes,Yes,No,- None -,139,524,4,,,120,,
- None -,3.5,OCOXVPEP-CA,1178,Colavita EV Olive Oil PEPPER 6x250ml (Timeless),Colavita Italy_Oil,Active,83,97,71,69,80,200,200,1056,1056,1056,1056,1056,1056,13.2,,,,,- None -,,- None -,- None -,3000,g,0.005397855,1056,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Pepper 6x250ml (Timeless),CLPEPTM250C6CAN,13.2,0.0000201,0.0000205,0.0000131,20.1,20.5,13.1,730,287,,7,41,- None -,Pantry,Infused Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,320,730,,,,340,,
- None -,3.5,VIWR003-FB-CA,3457,Farm Boy Wine Vinegar Red 12x500ml,Colavita_PL Farmboy,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,9998,g,0.01725584,,Admin Portal,Farm Boy,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Farm Boy Wine Vinegar Red 12x500ml,BO500C12 CAN,11.16,0.000028,0.0000217,0.0000284,28,21.7,28.4,1821,102,,6,17,- None -,Pantry,Specialty Vinegars,12,Private Label - FB,- None -,Yes,Yes,No,- None -,0,816,,,,370,,
- None -,3.5,OCOXVTAR-CA,1181,Colavita EV Olive Oil TRUFFLE 6x250ml (Timeless),Colavita Italy_Oil,Active,83,55,21,82,60.25,,,798,798,798,798,798,798,13.24,,,,,- None -,,- None -,- None -,3090,g,0.006573696,798,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Truffle 6x250ml (Timeless),CLTARTM250C6CAN,15.3,0.0000204,0.0000212,0.0000152,20.4,21.2,15.2,730,238,,7,34,- None -,Pantry,Infused Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,241,850,,,,430,,
- None -,3.5,OCOXVMED-CA,1176,Colavita EV Olive Oil Mediterranean 6x750ml (Timeless),Colavita Italy_Oil,Active,856,473,235,174,434.5,169,169,195,195,195,195,195,195,0.45,270,140,4/23/2026,,- None -,270,- None -,- None -,7370,g,0.013462176,195,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Mediterranean 6x750ml (Timeless),CLEXEUTTM750C6CAN,28.8,0.0000268,0.0000276,0.0000182,26.8,27.6,18.2,546,140,120,7,20,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,1738,6308,,,2,820,,
DEVIATION LABELING AND REPACKING,3.5,OCOSPRAVO-CA,6559,Colavita Spray Avocado Oil 6x148ml,Colavita Italy_Oil,Label,14,11,7,7,9.75,,,85,85,85,85,85,85,8.62,,,,,- None -,,- None -,- None -,1270,g,0.0038502,84,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Spray Avocado Oil 6x148ml, CLAVSR148C6CAN,17.4,0.000023,0.0000155,0.0000108,23,15.5,10.8,365,240,,4,60,- None -,Pantry,Specialty Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,39,98,1,,,1,,
- None -,3.5,OCOXVGAR-CA,1173,Colavita EV Olive Oil Garlic 6x250ml (Timeless),Colavita Italy_Oil,Active,179,132,85,61,114.25,,,867,867,867,867,867,867,7.59,,,,,- None -,,- None -,- None -,3120,g,0.006573696,867,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Garlic 6x250ml (Timeless),CLAGLTM250C6CAN,13.2,0.0000204,0.0000212,0.0000152,20.4,21.2,15.2,730,238,,7,34,- None -,Pantry,Infused Oils,6,Retail,1.00392E+13,Yes,Yes,Yes,- None -,457,856,,,,510,,
- None -,3.5,VIWW004-CA,1190,Colavita Wine Vinegar White 12x500ml,Colavita_Vinegar,Active,291.5,316.5,192,188,247,,,287.5,287.5,287.5,287.5,287.5,287.5,1.1,476,476,5/6/2026,,- None -,476,- None -,- None -,10620,g,0.0176784,271.5,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Wine Vinegar White 12x500ml,CLVINBTM500C12CAN,11.64,0.0000254,0.00003,0.0000232,25.4,30,23.2,1825,102,,6,17,- None -,Pantry,Specialty Vinegars,12,Retail,1.00392E+13,Yes,Yes,Yes,- None -,988,3287,16,,,595,,
Do Not Reorder - Sell through/Make Inactive,3.5,OCOXVSPN-CA,1180,Colavita EV Olive Oil SPANISH 6x750ml (Timeless),Colavita Italy_Oil,Do not Order,134,390,995,64,395.75,78,78,79,79,79,79,79,79,0.2,,,,,- None -,,- None -,- None -,7390,g,0.0135135,79,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Spanish 6x750ml (Timeless),CLEXSPTM750C6CAN,30.9,0.000027,0.0000275,0.0000182,27,27.5,18.2,,120,120,6,20,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,No,Yes,- None -,1583,759,,,,430,,
DEVIATION LABELING AND REPACKING,3.5,OCOSPRPRE-CA,6551,Colavita Spray EV Olive Oil Premium 6x148ml,Colavita Italy_Oil,Label,29,24,26,2.5,20.375,,,43,43,43,43,43,43,2.11,,,,,- None -,,- None -,- None -,1265,g,0.0038502,43,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Spray EV Olive Oil Premium 6x148ml, CLEXEUSR148C6CAN,12,0.000023,0.0000155,0.0000108,23,15.5,10.8,365,240,,4,60,- None -,Pantry,Olive Oils,6,Retail,1.00392E+13,Yes,Yes,No,- None -,81.5,120,,,,1,,
- None -,3.5,OCOGRAPE01-CA,1158,Colavita Oil GRAPESEED 6x750ml,Colavita Italy_Oil,Do not Order,0,0,0,0,0,,,88,88,88,88,88,88,0,,,,,- None -,,- None -,- None -,7094,g,0.016715664,,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Oil Grapeseed 6x750ml,CLVITM750C6CAN,17.7,0.0000276,0.0000294,0.0000206,27.6,29.4,20.6,,120,,6,20,- None -,Pantry,Nut and Seed Oils,6,Retail,1.00392E+13,No,No,No,- None -,0,167,,,191,1,,
