Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Availble to Promise,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Maximum of Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,(A) Pallet Out,7280,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Out,4.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Initial Storage OS,7285,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Initial Storage OS,2.55,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Additional Cases Over 1200 Cases,7286,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Additional Cases Over 1200 Cases,.20,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(T) Initial Storage Temp,7290,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Initial Storage Temp,21.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(T) Temp - Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,7291,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Temp - Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,575.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet Put Away - Floor Loaded,7279,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Put Away - Floor Loaded,1.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet IN Receiving,7271,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet In,4.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Initial Storage,7283,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Inital Storage,15.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(T) Temp Ctrl Pallet,7293,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Temp Ctrl Pallet,17.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Admin Fee,7281,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Admin Fee,17.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) OVERSIZED 2x,7294,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,OVERSIZED 2x,17.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) PALLET,7295,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,PALLET,15.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Rush Fee (Same Day),7288,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Rush Fee (Same Day),100.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Shrink Wrap,7282,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Shrink Wrap,5.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet Pick,7278,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Pick,2.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet Rework,7284,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Rework,25.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet Pick and Out,7292,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Pick and Out,8.50,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Additional SKU's over 5 SKUs,7289,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Additional SKU's over 5 SKUs,25.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Pallet Put Away,7276,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Pallet Put Away,2.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,(A) Dry Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,7287,- None -,- None -,Charge,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,- None -,- None -,12383,18 Wheels 18 Wheels Logistics Limited Partnership,- None -,- None -,Dry Offload Floor-Loaded Container Upto 1200 cases & 5 SKU's,475.00,,,,,,,,,,,,- None -,- None -,- None -,,- None -,- None -,,,,0,,,,,,
- None -,3.5,PFLOURFB-CA,3439,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,99,- None -,- None -,10570,g,.02039352,,Admin Portal,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0164BOD,9.30,.000021,.0000244,.0000398,21,24.4,39.8,365,63,,7,9,- None -,Pantry,Flour and Baking Aids,10,Private Label - FB,- None -,Yes,Yes,No,0,657,,99,252,,
- None -,3.5,PFLOURFBA-CA,3444,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,99,- None -,- None -,10570,g,.02039352,,Admin Portal,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),1CA2400164BOD,11.30,.000021,.0000244,.0000398,21,24.4,39.8,365,63,,7,9,- None -,Pantry,Flour and Baking Aids,10,Private Label - FB,- None -,Yes,Yes,No,0,666,,99,252,,
- None -,3.5,PFLOUR02-CA,3870,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_Flour,Active,0,0,0,0,0,,1471,1471,1471,1471,1471,1471,0,1389,632,3/15/2026,,- None -,4060,- None -,- None -,10650,g,.0244725,1439,Admin Portal,Vita Sana,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0148BOD,9.30,.000025,.000039,.0000251,25,39,25.1,365,63,60,7,9,- None -,Pantry,Flour and Baking Aids,10,Retail,10779921020011,Yes,Yes,Yes,0,11368,32,378,252,,
- None -,3.5,FPRM120-FB-CA,3440,Farm Boy Artichoke Hearts 12x340ml,Alguazas_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,648,- None -,- None -,7528,g,.008175,,Admin Portal,Farm Boy,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,Farm Boy Artichoke Hearts 12x340ml,7927,12.50,.0000125,.00003,.0000218,12.5,30,21.8,1095,162,,9,18,- None -,Pantry,Pickles and Antipasto,12,Private Label,- None -,Yes,Yes,No,0,1458,,648,153,,
- None -,3.5,FPRM149A-CA,5490,R.M. Capers 12x105ml,Alguazas_Marinades,Active,0,0,0,0,0,,28,28,28,28,28,28,0,,,,,- None -,300,- None -,- None -,2560,g,.00283185,28,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Capers 12x105ml,741,6.25,.0000087,.0000155,.000021,8.7,15.5,21,1092,288,,9,32,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921362913,Yes,Yes,Yes,0,525,,,300,,
- None -,3.5,FPRM124-CA,3645,R.M. Artichoke Hearts 12x12oz,Alguazas_Marinades,Active,0,0,0,0,0,,445,445,445,445,445,445,0,,,,,- None -,1224,- None -,- None -,6540,g,.008378556,442,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x12oz,7926,12.50,.0000124,.0000303,.0000223,12.4,30.3,22.3,1092,153,,9,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921361107,Yes,Yes,Yes,0,3023,3,153,153,,
- None -,3.5,FPRM120-CA,3646,R.M. Artichoke Hearts 12x6oz,Alguazas_Marinades,Active,0,0,0,0,0,,275,275,275,275,275,275,0,,,,,- None -,714,- None -,- None -,4470,g,.005051892,274,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x6oz,794I,8.00,.0000079,.0000292,.0000219,7.9,29.2,21.9,1092,238,,14,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921361053,Yes,Yes,Yes,0,2066,1,,238,,
- None -,3.5,FPRM126-CA,3664,R.M. Fire Red Roasted Peppers 6x3Kg,Alguazas_Marinades,Active,0,0,0,0,0,,102,102,102,102,102,102,0,,,,,- None -,,- None -,- None -,17290,g,.024244638,102,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 6x3Kg,N635,32.00,.0000159,.0000478,.0000319,15.9,47.8,31.9,1095,63,,9,7,- None -,Pantry,Pickles and Antipasto,6,Retail,10779921362203,Yes,Yes,Yes,0,331,,,63,,
- None -,3.5,FPRM125-CA,3663,R.M. Fire Red Roasted Peppers 12x12oz,Alguazas_Marinades,Active,0,0,0,0,0,,1130,1130,1130,1130,1130,1130,0,,,,,- None -,918,- None -,- None -,6390,g,.008378556,1120,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 12x12oz,N62I,11.50,.0000124,.0000303,.0000223,12.4,30.3,22.3,1457,153,,9,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921362104,Yes,Yes,Yes,0,6657,10,,153,,
- None -,3.5,VLONGOTAG01-CA,7107,Longos Curato Tagliatelle Egg Nest pasta 20x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,5000,g,.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Tagliatelle Egg Nest pasta 20x250g,LC093#2020220,13.52,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,20,Private Label - Longos,10772468047336,Yes,Yes,No,0,0,,,330,,
- None -,3.5,VLONGOFET02-CA,7109,Longos Curato Fettucine Egg Nest pasta 18x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,540,- None -,- None -,5000,g,.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Fettucine Egg Nest pasta 18x250g,LC094#2020218,12.168,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,18,Private Label - Longos,10772468047343,Yes,Yes,No,0,0,,540,750,,
- None -,3.5,VLONGOPAP03-CA,7108,Longos Curato Pappardelle Egg Nest pasta 18x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,0,2,,,,- None -,542,- None -,- None -,5000,g,.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Pappardelle Egg Nest pasta 18x250g,LC096#2020218,12.168,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,18,Private Label - Longos,10772468047350,Yes,Yes,No,0,0,,540,280,,
- None -,3.5,PRM220-GF-CA,6228,RM Lasagna Gluten Free 12x250g,Andriani,Active,0,0,0,0,0,,465,465,465,465,465,465,0,,,,,- None -,700,- None -,- None -,3740,g,.009614486,462,Admin Portal,Regina Molisana,Pasta,11243,ANDRIANI Andriani Spa,Salerno,RM Lasagna Gluten Free 12x250g,C420BD297,11.28,.0000199,.0000203,.0000238,19.9,20.3,23.8,1095,125,,5,25,- None -,Pantry,Specialty Cuts,12,Retail,10779921002239,Yes,Yes,No,0,1615,3,74,700,,
Do Not Reorder - Sell through/Make Inactive,3.5,SAPEST-135R-CA,3691,R.M. Pesto (Red) with Sundried Tomatoes 12x150g,Clas Pesto_Green Pesto,Do not Order,0,0,0,0,0,,277,277,277,277,277,277,0,,,,,- None -,,- None -,- None -,2910,g,.003535575,277,Admin Portal,Regina Molisana,Canned and Jarred,11521,ARTIGIANA Artigiana Genovese Srl,- None -,R.M. Pesto (Red) with Sundried Tomatoes 12x150g,F1260192,8.64,.0000085,.0000235,.0000177,8.5,23.5,17.7,730,250,,10,25,- None -,Pantry,Pasta and Pasta Sauce,12,Retail,10779921800538,Yes,No,Yes,0,275,,,1,,
Do Not Reorder - Sell through/Make Inactive,3.5,LEMON02-CA,3540,Limmi (VS) Lemon Juice 12x200ml,B&G SRL (Limmi)_Lemon Juice,Do not Order,0,0,0,0,0,,918,918,918,918,918,918,0,,,,,- None -,,- None -,- None -,2810,g,.0076551,910,Admin Portal,Limmi - Vita Sana,Juice,540,B&G B&G Srl (Limmi),Genova,Limmi (VS) Lemon Juice 12x200ml,110CA,5.16,.0000158,.000019,.0000255,15.8,19,25.5,365,242,180,11,22,- None -,Drinks,Shelf Stable Juices,12,Retail,641777111027,Yes,No,Yes,0,2741,8,,1060,,
- None -,3.5,BACI12439598-CA,6959,Baci Bag Milk 12x125g,Baci_Chocolate,Label,0,0,0,0,0,,445.834,445.834,445.834,445.834,445.834,445.834,0,704,704,3/23/2026,,- None -,704,- None -,- None -,1800,g,.015057504,434.834,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Milk 12x125g,12439598,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,839456005655,Yes,Yes,Yes,0,97,11,,1100,,
- None -,3.5,BACI12439675-CA,6961,Baci Box 12Pcs Original Dark 6x150g,Baci_Chocolate,Label,0,0,0,0,0,,583,583,583,583,583,583,0,1748,803,3/23/2026,,- None -,2548,- None -,- None -,1100,g,.012614,578,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BOX 12Pcs Original Dark 6x150g,12439675,31.50,.000017,.0000265,.000028,17,26.5,28,364,100,72,2,50,- None -,Pantry,Chocolate,6,Retail  - Chocolate,839456005457,Yes,Yes,Yes,0,169,5,,875,,
- None -,3.5,DSPBACIBOW-OT,7227,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,Baci_Displayer,Active-Displayer,0,0,0,0,0,,81,81,81,81,81,81,0,,,,,- None -,,- None -,- None -,,- None -,,81,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,104331486,17.16,,,,,,,9999,100,,2,50,- None -,Pantry,Displayer,1,Displayer,- None -,Yes,Yes,No,0,,,,1,,
- None -,3.5,BACI104936513-CA,7025,Baci Perugina Displayer Header with Base (part 1 of 2),Baci_Displayer,Active-Displayer,0,0,0,0,0,,14,14,14,14,14,14,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,14,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Perugina Displayer Header with Base (part 1 of 2),104936513,17.16,.0000097,.0000106,.00002,9.7,10.6,20,9999,100,60,2,50,- None -,Pantry,Chocolate,1,Displayer,- None -,Yes,Yes,No,0,0,,,20,,
DEVIATION LABELING AND REPACKING,3.5,BACI12534834-CA,6972,Baci Egg Easter Hazelnut 6x255g,Baci_Easter Chocolate,Label,0,0,0,0,0,,18,18,18,18,18,18,0,,,,,- None -,,- None -,- None -,1800,g,.0648,15,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Hazelnut 6x255g,12534834,55.44,.000054,.00003,.00004,54,30,40,364,100,16,2,50,- None -,Seasonal,Chocolate,6,Retail - EASTER Chocolate,8000300419993,Yes,Yes,Yes,0,3,3,,100,,
- None -,3.5,BACI12560167-CA,6977,Baci BAG Coffee 12x125g,Baci_Chocolate,Label,0,0,0,0,0,,105,105,105,105,105,105,0,,,,,- None -,,- None -,- None -,1800,g,.015057504,104,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Coffee 12x125g,12560167,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,8000300421378,Yes,Yes,Yes,0,2,1,,330,,
- None -,3.5,BACI12439610-CA,6960,Baci Box 12Pcs Milk 6x150g,Baci_Chocolate,Label,0,0,0,0,0,,206,206,206,206,206,206,0,997,997,3/24/2026,,- None -,2297,- None -,- None -,1100,g,.012614,204,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BOX 12Pcs Milk 6x150g,12439610,31.50,.000017,.0000265,.000028,17,26.5,28,364,100,72,2,50,- None -,Pantry,Chocolate,6,Retail  - Chocolate,839456005433,Yes,Yes,Yes,0,156,2,,875,,
- None -,3.5,BACI12562416-CA,7049,Baci Box Original Sparkling - Blue -  20Pcs  10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BLUE Original Sparkling Box - 20Pcs  10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300425024,Yes,Yes,No,0,,,,180,,
- None -,3.5,BACI12531696-CA,6967,Baci Bag Easter Mini Eggs Assorted 20x150g,Baci_Easter Chocolate,Label,0,0,0,0,0,,1,1,1,1,1,1,0,,,,,- None -,,- None -,- None -,3300,g,.0219184,1,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci BAG Easter Mini Eggs Assorted 20x150g,12531696,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,- None -,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300352597,Yes,Yes,No,0,,,,100,,
- None -,3.5,BACI12405295-CA,6953,Baci Bag Original Dark 12x125g,Baci_Chocolate,Label,0,0,0,0,0,,55,55,55,55,55,55,0,1508,1508,3/23/2026,,- None -,1508,- None -,- None -,1800,g,.015057504,45,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Original Dark 12x125g,12405295,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,839456005679,Yes,Yes,Yes,0,76,10,,1100,,
DEVIATION LABELING AND REPACKING,3.5,BACI12533587-CA,6970,Baci Egg Easter Milk 12x265g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,3300,g,.12551328,,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Milk 12x265g,12533587,86.52,.000054,.0000398,.0000584,54,39.8,58.4,364,100,8,2,50,- None -,Seasonal,Chocolate,12,Retail - EASTER Chocolate,8000300412284,Yes,Yes,Yes,0,28,,,100,,
- None -,3.5,BACI12439386-CA,6956,Baci Bulk Original Dark 3x1Kg,Baci_Chocolate,Label,0,0,0,0,0,,,,,,,,0,120,120,3/23/2026,,- None -,520,- None -,- None -,3300,g,.009078,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BULK Original Dark Choc 3x1KgBaci Bulk Original Dark 3x1Kg,12439386,56.70,.0000178,.000017,.00003,17.8,17,30,364,100,108,2,50,- None -,Pantry,Chocolate,3,Retail  - Chocolate,8000300388909,Yes,Yes,No,0,1,,2,150,,
- None -,3.5,BACI12595564-CA,7015,Perugina Baci Advent Calendar Ramb 10x278g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Perugina Baci Advent Calendar Ramb 10x278,12595564,74.00,.0000097,.0000106,.00002,9.7,10.6,20,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300424478,Yes,Yes,No,0,21,,,110,,
DEVIATION LABELING AND REPACKING,3.5,BACI12531682-CA,6965,Baci Bag Easter Mini Eggs Milk 20x150g,Baci_Easter Chocolate,Label,0,0,0,0,0,,1,1,1,1,1,1,0,,,,,- None -,,- None -,- None -,3300,g,.0219184,1,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Bag Easter Mini Eggs Milk 20x150g,12531682,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,- None -,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300328424,Yes,Yes,No,0,,,,100,,
- None -,3.5,BACI12597082-CA,7048,Baci Box Assorted Sparkling - Silver -  20Pcs  10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Seasonal Christmas,12190,BACI Baci Perugina,Livorno,Baci Box Assorted Sparkling - Silver -  20Pcs  10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail  - Chocolate,8000300410624,Yes,Yes,No,0,,,,180,,
- None -,3.5,BACI12595334-CA,7047,Baci Box Assorted Sparkling - Gold -  20Pcs 10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Seasonal Christmas,12190,BACI Baci Perugina,Livorno,Baci GOLD Assorted Sparkling Box 10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300432961,Yes,Yes,No,0,,,,190,,
- None -,3.5,BACI12363320-CA,6985,Perugina Bar Dark 51% 12x86g,Baci_Chocolate,Do not Order,0,0,0,0,0,,9,9,9,9,9,9,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,6,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Perugina Bar Dark 51% 12x86g,12363320,17.16,.0000097,.0000106,.00002,9.7,10.6,20,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,839456004610,Yes,No,No,0,0,3,,490,,
DEVIATION LABELING AND REPACKING,3.5,BACI12565331-CA,6974,Baci Box Heart Original Dark 20x100g,Baci_Valentine Chocolate,Label,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,2200,g,.04545808,,Admin Portal,Baci,Seasonal Valentines,12190,BACI Baci Perugina,Livorno,Baci Box Heart Original Dark 20x100g,12565331,100.20,.0000202,.0000388,.000058,20.2,38.8,58,364,100,20,2,50,- None -,Seasonal,Chocolate,20,Retail - VALENTINE Chocolate,8000300418217,Yes,Yes,Yes,0,41,,,130,,
