Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Availble to Promise,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Maximum of Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,COFGIO01-12PK-CA,3481,Gioia Espresso Coffee White 12x250g,Labcaffe,Active,0,0,0,0,0,,795,795,795,795,795,795,0,950,243,4/1/2026,,- None -,1426,- None -,- None -,3140,g,.006292,787,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Coffee White 12x250g,101,25.68,.0000143,.000025,.0000176,14.3,25,17.6,730,180,125,10,18,- None -,Drinks,Ground Coffee,12,Retail,20779921570001,Yes,Yes,Yes,0,6089,8,,234,,
- None -,3.5,COFGIO03-CA,3479,Gioia Espresso Coffee Beans 12x1Kg,Labcaffe,Active,0,0,0,0,0,,329,329,329,329,329,329,0,,,,,- None -,180,- None -,- None -,12820,g,.041491224,327,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Coffee Beans 12x1Kg,003,126.00,.0000366,.0000282,.0000402,36.6,28.2,40.2,730,40,40,4,10,- None -,Drinks,Whole Beans,12,Retail,10779921572008,Yes,Yes,Yes,0,1062,2,,60,,
- None -,3.5,COFGIO-CAP CLASSIC-CA,1535,Gioia Espresso Classic Capsules 100 Per Case,Labcaffe,Active,0,0,0,0,0,,21,21,21,21,21,21,0,,,,,- None -,,- None -,- None -,1510,g,.01552908,21,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,- None -,361,12.00,.0000278,.0000285,.0000196,27.8,28.5,19.6,730,100,,2,50,- None -,Drinks,Coffee Pods,,Retail,8007387003619,Yes,Yes,No,0,33,,,40,,
- None -,3.5,COFGIO02-12PK-CA,3480,Gioia Espresso Coffee Gold 12x250g,Labcaffe,Active,0,0,0,0,0,,676,676,676,676,676,676,0,241,241,4/1/2026,,- None -,717,- None -,- None -,3140,g,.006292,675,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Coffee Gold 12x250g,301,32.88,.0000143,.000025,.0000176,14.3,25,17.6,730,180,125,10,18,- None -,Drinks,Ground Coffee,12,Retail,20779921571008,Yes,Yes,Yes,0,2034,1,,234,,
- None -,3.5,BRLF108-CA,3869,Vita Sana Breadsticks Sesame Bulk 12x400g,La Mole,Active,0,0,0,0,0,,105,105,105,105,105,105,0,252,169,3/15/2026,,- None -,497,- None -,- None -,5920,g,.044811,103,Admin Portal,Vita Sana,"Crackers, Cookies, Snacks",1049,LAMOLE F.Lli Milan Srl - MOLE,Salerno,Vita Sana Breadsticks Sesame Bulk 12x400g,VS400SES,15.57,.00003,.000039,.0000383,30,39,38.3,365,40,42,4,10,- None -,Pantry,Breadsticks,12,Retail,10779921200246,Yes,Yes,Yes,0,2531,2,,245,,
- None -,3.5,BRFB003-CA,3442,Farm Boy Artisanal Grissini Garlic & Hot Pepper 20x250g,Larte Dei Sapori_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,11400,g,.001794972375,,Admin Portal,Farm Boy,"Crackers, Cookies, Snacks",1055,LARTE DEI SAPORI L Arte Dei Sapori Sas,Salerno,Farm Boy Artisanal Grissini Garlic & Hot Pepper 20x250g,BRFB003-CA,15.60,.00000965,.00001181,.00001575,9.65,11.81,15.75,365,64,,8,8,- None -,Pantry,Breadsticks,20,Private Label - FB,- None -,Yes,Yes,No,0,189,,,50,,
- None -,3.5,BRFB001-CA,3443,Farm Boy Artisanal Grissini Traditional 20x250g,Larte Dei Sapori_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,11400,g,.001794972375,,Admin Portal,Farm Boy,"Crackers, Cookies, Snacks",1055,LARTE DEI SAPORI L Arte Dei Sapori Sas,Salerno,Farm Boy Artisanal Grissini Traditional 20x250g,BRFB001-CA,15.60,.00000965,.00001181,.00001575,9.65,11.81,15.75,365,,64,,,- None -,Pantry,Breadsticks,20,Private Label - FB,- None -,Yes,Yes,No,0,228,,,80,,
- None -,3.5,BRFB002-CA,3441,Farm Boy Artisanal Grissini Fennel 20x250g,Larte Dei Sapori_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,11400,g,.001794972375,,Admin Portal,Farm Boy,"Crackers, Cookies, Snacks",1055,LARTE DEI SAPORI L Arte Dei Sapori Sas,Salerno,Farm Boy Artisanal Grissini Fennel 20x250g,BRFB002-CA,15.60,.00000965,.00001181,.00001575,9.65,11.81,15.75,365,64,,8,8,- None -,Pantry,Breadsticks,20,Private Label - FB,- None -,Yes,Yes,No,0,176,,,80,,
- None -,3.5,FBTRUF02-CA,3456,Farm Boy Truffle Flavoured Sea Salts 12x100ml,Le Ife_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,50,50,4/12/2026,,- None -,50,- None -,- None -,4000,g,.0070144064055,,Admin Portal,Farm Boy,Herbs Spices and Sauces,1060,LE IFE Tartufi Le Ife Srl,Salerno,Farm Boy Truffle Flavoured Sea Salts 12x100ml,2353,39.816,.000023495,.00001501,.00001989,23.495,15.01,19.89,547,270,,9,30,- None -,Pantry,Salt and Peppers,12,Private Label - FB,- None -,Yes,Yes,No,0,100,,50,50,,
Do Not Reorder - Sell through/Make Inactive,3.5,VSHON500A-T-CA,6430,Vita Sana Honey (Truffle) 6x500g,La Ife,Do not Order,0,0,0,0,0,,7,7,7,7,7,7,0,,,,,- None -,,- None -,- None -,3360,g,.0084375,7,Admin Portal,Vita Sana,Condiments and Toppings,1060,LE IFE Tartufi Le Ife Srl,Salerno,Vita Sana Honey (Truffle) 6x500g,4586,261.60,.0000125,.00003,.0000225,12.5,30,22.5,547,100,,2,50,- None -,Food Service,Jams and Spreads,6,Retail,10779921106685,Yes,No,Yes,0,20,,,1,,
- None -,3.5,FBTRUF01-CA,3455,Farm Boy Truffle Flavoured Grapedseed Oil 12x100ml,Le Ife_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,3000,g,.0070144064055,,Admin Portal,Farm Boy,"Oil, Vinegars and Cooking Wine",1060,LE IFE Tartufi Le Ife Srl,Salerno,Farm Boy Truffle Flavoured Grapedseed Oil 12x100ml,97,42.84,.000023495,.00001501,.00001989,23.495,15.01,19.89,365,180,,6,30,- None -,Pantry,Infused Oils,12,Private Label - FB,- None -,Yes,Yes,No,0,150,,,60,,
- None -,3.5,FPVA066A-CA,3672,R.M. Muffuletta Hot 12x500ml,Livabec,Active,0,0,0,0,0,,1222,1222,1222,1222,1222,1222,0,,,,,- None -,967,- None -,- None -,9070,g,.0108,1220,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Muffuletta Hot 12x500ml,MOLMUFH500,31.00,.000016,.00003,.0000225,16,30,22.5,730,102,,6,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921372059,Yes,Yes,Yes,0,4119,2,,1500,,
- None -,3.5,FPVA060-CA,3643,R.M. Antipasto (Giardiniera) Mild 12x375ml,Livabec,Active,0,0,0,0,0,,914,914,914,914,914,914,0,,,,,- None -,500,- None -,- None -,7010,g,.008398247,911,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Antipasto (Giardiniera) Mild 12x375ml,MOLMA375,25.00,.0000143,.0000281,.0000209,14.3,28.1,20.9,730,144,,8,18,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921371021,Yes,Yes,Yes,0,2663,3,18,1500,,
- None -,3.5,FPVA069A-CA,3554,Longos Muffuletta Original (HOT) 12x500ml,Livabec_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,306,- None -,- None -,5680,g,.01126594521,,Admin Portal,Longos,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,Longos Muffuletta Original 12x500ml,LONMUF500,31.70,.00001651,.00002286,.00002985,16.51,22.86,29.85,730,102,,6,17,- None -,Pantry,Pickles and Antipasto,12,Private Label - Longos,10772468025662,Yes,Yes,No,0,1942,,306,1500,,
- None -,3.5,FPVA055-CA,3657,R.M. Eggplant Hot In Oil 2x4L,Livabec,Active,0,0,0,0,0,,241,241,241,241,241,241,0,,,,,- None -,,- None -,- None -,10260,g,.013695,241,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Eggplant Hot In Oil 2x4L,MOLHE4L,42.00,.000025,.000033,.0000166,25,33,16.6,730,84,,4,21,- None -,Pantry,Pickles and Antipasto,2,Retail,10779921310303,Yes,Yes,No,0,619,,,300,,
- None -,3.5,FPVA059-CA,3642,R.M. Antipasto (Giardiniera) Hot 12x375ml,Livabec,Active,0,0,0,0,0,,1376,1376,1376,1376,1376,1376,0,,,,,- None -,,- None -,- None -,7050,g,.008398247,1373,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Antipasto (Giardiniera) Hot 12x375ml,MOLHA375,25.00,.0000143,.0000281,.0000209,14.3,28.1,20.9,730,144,,8,18,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921371007,Yes,Yes,Yes,0,2080,3,18,1500,,
- None -,3.5,FPVA069B-CA,3553,Longos Muffuletta Mild 12x500ml,Livabec_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,510,- None -,- None -,5680,g,.01126594521,,Admin Portal,Longos,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,Longos Muffuletta Mild 12x500ml,LONMUFM500,31.70,.00001651,.00002286,.00002985,16.51,22.86,29.85,730,102,,6,17,- None -,Pantry,Pickles and Antipasto,12,Private Label - Longos,10772468025006,Yes,Yes,No,0,1305,,510,1500,,
- None -,3.5,FPVA028-CA,3666,R.M. Hot Sliced Peppers 12x250ml,Livabec,Active,0,0,0,0,0,,124,124,124,124,124,124,0,,,,,- None -,192,- None -,- None -,5030,g,.006161915,123,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Hot Sliced Peppers 12x250ml,MOLHSP250,22.75,.0000089,.0000305,.0000227,8.9,30.5,22.7,728,192,,12,16,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921325130,Yes,Yes,Yes,0,697,1,,1500,,
- None -,3.5,FPVA070-CA,3452,Farm Boy Muffuletta Mild 12x500g,Livabec_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,204,- None -,- None -,5680,g,.01126594521,,Admin Portal,Farm Boy,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,Farm Boy Muffuletta Mild 12x500g,FBMUFM500,31.00,.00001651,.00002286,.00002985,16.51,22.86,29.85,730,102,,6,17,- None -,Pantry,Pickles and Antipasto,12,Private Label - FB,- None -,Yes,Yes,No,0,650,,204,1500,,
- None -,3.5,FPVA375A-CA,3671,R.M. Muffuletta Hot 2x4L,Livabec,Active,0,0,0,0,0,,128.5,128.5,128.5,128.5,128.5,128.5,0,,,,,- None -,84,- None -,- None -,10460,g,.013695,128.5,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Muffuletta Hot 2x4L,MOLMUFH4L,45.75,.000025,.000033,.0000166,25,33,16.6,730,84,,4,21,- None -,Pantry,Pickles and Antipasto,2,Retail,10779921310136,Yes,Yes,No,0,119,,,300,,
- None -,3.5,FPVA022-CA,3656,R.M. Eggplant Hot In Oil 12x375ml,Livabec,Active,0,0,0,0,0,,526,526,526,526,526,526,0,,,,,- None -,511,- None -,- None -,6980,g,.008398247,524,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Eggplant Hot In Oil 12x375ml,MOLHE375,22.60,.0000143,.0000281,.0000209,14.3,28.1,20.9,730,144,,8,18,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921310235,Yes,Yes,Yes,0,1541,2,,1500,,
- None -,3.5,FPVA375-CA,3673,R.M. Muffuletta Mild 2x4L,Livabec,Active,0,0,0,0,0,,172,172,172,172,172,172,0,,,,,- None -,168,- None -,- None -,10548,g,.013695,170,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Muffuletta Mild 2x4L,MOLMUFM4L,45.75,.000025,.000033,.0000166,25,33,16.6,730,84,,4,21,- None -,Pantry,Pickles and Antipasto,2,Retail,10779921310105,Yes,Yes,Yes,0,656,2,,300,,
- None -,3.5,FPVA057-CA,3677,R.M. Mushrooms Hot In Oil 2x4L,Livabec,Active,0,0,0,0,0,,29,29,29,29,29,29,0,,,,,- None -,,- None -,- None -,10590,g,.013695,29,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Mushrooms Hot In Oil 2x4L,MOLHM4L,60.00,.000025,.000033,.0000166,25,33,16.6,730,84,,4,21,- None -,Pantry,Pickles and Antipasto,2,Retail,10779921310044,Yes,Yes,No,0,45,,,300,,
- None -,3.5,FPVA065A-CA,3674,R.M. Muffuletta Mild 12x500ml,Livabec,Active,0,0,0,0,0,,1092.16,1092.16,1092.16,1092.16,1092.16,1092.16,0,,,,,- None -,848,- None -,- None -,9000,g,.0108,1090.16,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Muffuletta Mild 12x500ml,MOLMUFM500,31.00,.000016,.00003,.0000225,16,30,22.5,730,102,,6,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921372011,Yes,Yes,Yes,0,2429,2,,1500,,
- None -,3.5,FPVA058-CA,3678,R.M. Mushrooms Mild In Oil 2x4L,Livabec,Active,0,0,0,0,0,,64,64,64,64,64,64,0,,,,,- None -,,- None -,- None -,10640,g,.013695,64,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Mushrooms Mild In Oil 2x4L,MOLMM4L,60.00,.000025,.000033,.0000166,25,33,16.6,730,84,,4,21,- None -,Pantry,Pickles and Antipasto,2,Retail,779921320015,Yes,Yes,No,0,43,,,300,,
- None -,3.5,FPVA056-CA,3660,R.M. Eggplant Mild In Oil 2x4L,Livabec,Active,0,0,0,0,0,,169,169,169,169,169,169,0,,,,,- None -,,- None -,- None -,10150,g,.013695,169,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Eggplant Mild In Oil 2x4L,MOLME4L,42.00,.000025,.000033,.0000166,25,33,16.6,730,84,,4,21,- None -,Pantry,Pickles and Antipasto,2,Retail,10779921320302,Yes,Yes,Yes,0,361,,,300,,
- None -,3.5,FPVA031-CA,3679,R.M. Mushrooms Mild In Oil 12x250ml,Livabec,Active,0,0,0,0,0,,225,225,225,225,225,225,0,,,,,- None -,576,- None -,- None -,5080,g,.006161915,223,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Mushrooms Mild In Oil 12x250ml,MOLMM250,26.00,.0000089,.0000305,.0000227,8.9,30.5,22.7,728,192,,12,16,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921320012,Yes,Yes,Yes,0,2198,2,,1500,,
- None -,3.5,FPVA024-CA,3658,R.M. Eggplant Hot In Oil 12x750ml,Livabec,Active,0,0,0,0,0,,506,506,506,506,506,506,0,,,,,- None -,168,- None -,- None -,13110,g,.01574496,505,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Eggplant Hot In Oil 12x750ml,MOLHE750,42.00,.0000168,.0000355,.0000264,16.8,35.5,26.4,730,77,,7,11,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921310266,Yes,Yes,Yes,0,2212,1,,1000,,
- None -,3.5,FPVA071-CA,3453,Farm Boy Muffuletta Spicy 12x500g,Livabec_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,0,,,,,- None -,,- None -,- None -,5680,g,.01126594521,,Admin Portal,Farm Boy,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,Farm Boy Muffuletta Spicy 12x500g,FBMUFH500,31.00,.00001651,.00002286,.00002985,16.51,22.86,29.85,730,102,,6,17,- None -,Pantry,Pickles and Antipasto,12,Private Label - FB,- None -,Yes,Yes,No,0,625,,,1500,,
- None -,3.5,FPVA025-CA,3661,R.M. Eggplant Mild In Oil 12x750ml,Livabec,Active,0,0,0,0,0,,328,328,328,328,328,328,0,,,,,- None -,269,- None -,- None -,13100,g,.01574496,328,Admin Portal,Regina Molisana,Condiments and Toppings,1074,LIVABE Les Aliments Livabec Foods Inc,Canada,R.M. Eggplant Mild In Oil 12x750ml,MOLME750,42.00,.0000168,.0000355,.0000264,16.8,35.5,26.4,730,77,,7,11,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921310265,Yes,Yes,Yes,0,1578,,,1500,,
