Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Availble to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,BEFU01-CA,5374,Fiuggi Vivace Sparkling Water 6x1L,Fiuggi,Active,0,0,0,0,0,,,1916,1916,1916,1916,1916,1916,0,5040,2520,4/23/2026,,- None -,6940,- None -,- None -,8750,g,.01762475,1881,Admin Portal,Fiuggi,Water,1969,FIUGGI Acqua e Terme di Fiuggi SPA,Salerno,Fiuggi Vivace Sparkling Water 6x1L,C82012/6,4.41,.0000325,.000029,.0000187,32.5,29,18.7,730,100,100,5,20,- None -,Drinks,Sparkling,6,Retail,8015962000083,Yes,Yes,Yes,- None -,0,20860,35,,1600,2500,,
- None -,3.5,BEFU07A-CA,7115,Fiuggi Natural Mineral Water Slim 6x500ml PET,Fiuggi,Active,0,0,0,0,0,,,2325,2325,2325,2325,2325,2325,0,,,,,- None -,,- None -,- None -,3360,g,.00561,2277,Admin Portal,Fiuggi,Water,1969,FIUGGI Acqua e Terme di Fiuggi SPA,Salerno,Fiuggi Natural Mineral Water Slim 6x500ml PET,600002,1.704,.000024,.0000187,.0000125,24,18.7,12.5,730,240,336,5,48,- None -,Drinks,Natural,6,Retail,8015962004005,Yes,Yes,No,- None -,0,0,48,,,1190,,
- None -,3.5,BEFU12-CA,7344,Fiuggi Natural Mineral Water 6x1L (Tower PET),Fiuggi,Active - Not Sellable,0,0,0,0,0,,,,,,,,,0,,145,4/30/2026,,- None -,,- None -,- None -,,- None -,,,Admin Portal,Fiuggi,Water,1969,FIUGGI Acqua e Terme di Fiuggi SPA,Salerno,Fiuggi Natural Mineral Water 6x1L (Tower PET) ,100101,2.352,,,,,,,,,,,,- None -,Drinks,Natural,6,Retail,- None -,No,Yes,No,- None -,0,,,,,,,
- None -,3.5,BEFU02-CA,5370,Fiuggi Natural Mineral Water 6x1L,Fiuggi,Active,0,0,0,0,0,,,8777,8777,8777,8777,8777,8777,0,9600,2520,4/30/2026,,- None -,12560,- None -,- None -,8750,g,.01762475,8299,Admin Portal,Fiuggi,Water,1969,FIUGGI Acqua e Terme di Fiuggi SPA,Salerno,Fiuggi Natural Mineral Water 6x1L,600005,4.41,.0000325,.000029,.0000187,32.5,29,18.7,730,100,100,5,20,- None -,Drinks,Natural,6,Retail,8015962000052,Yes,Yes,Yes,- None -,0,69522,178,,,4470,,
- None -,3.5,BEFU11-CA,7343,Fiuggi Natural Mineral Water 12x750ml,Fiuggi,Active - Not Sellable,0,0,0,0,0,,,,,,,,,0,,66,4/30/2026,,- None -,,- None -,- None -,,- None -,,,Admin Portal,Fiuggi,Water,1969,FIUGGI Acqua e Terme di Fiuggi SPA,Salerno,Fiuggi Natural Mineral Water 12x750ml ,500019,9.408,,,,,,,,,,,,- None -,Drinks,Natural,12,Retail,- None -,No,Yes,No,- None -,0,,,,,,,
- None -,3.5,BEFU09A-CA,7116,Fiuggi Sparkling Mineral Water Slim 6x500ml PET,Fiuggi,Active,0,0,0,0,0,,,,,,,,,0,,,,,- None -,672,- None -,- None -,3360,g,.00561,,Admin Portal,Fiuggi,Water,1969,FIUGGI Acqua e Terme di Fiuggi SPA,Salerno,Fiuggi Sparkling Mineral Water Slim 6x500ml PET,600001,1.704,.000024,.0000187,.0000125,24,18.7,12.5,730,240,336,5,48,- None -,Drinks,Natural,6,Retail,8015962005002,Yes,Yes,No,- None -,0,0,,,32,1040,,
- None -,3.5,FPRM01-CA,3651,R.M. Baby Clams 6x270g,Flott,Active,0,0,0,0,0,,,112,112,112,112,112,112,0,600,400,4/18/2026,,- None -,600,- None -,- None -,2920,g,.0036972,111,Admin Portal,Regina Molisana,Canned and Jarred,855,FLOTT S.P.A. Flott Spa,Salerno & Genova,R.M. Baby Clams 6x270g,270VONVVNAMOL,15.10,.00001,.0000237,.0000156,10,23.7,15.6,1460,252,,9,28,- None -,Pantry,Fish and Seafood,6,Retail,10779921906100,Yes,Yes,Yes,- None -,0,1407,1,,,200,,
- None -,3.5,BAKGIOIA19-CA,7031,Gioia Mini Torta 12x390 g,Freddi,Active,0,0,0,0,0,,,147,147,147,147,147,147,0,,,,,- None -,730,- None -,- None -,4680,g,.02543112,145,Admin Portal,Gioia,Sweets,12212,FREDDI FREDDI DOLCIARIA SpA,Livorno & Genova,Gioia Mini Torta,VFMGA033-12,17.52,.0000286,.0000234,.000038,28.6,23.4,38,270,72,,6,12,- None -,Pantry,Cakes,12,Retail,10779921108412,Yes,Yes,No,- None -,0,0,2,,,730,,
- None -,3.5,FBGAN01-CA,3450,Farm Boy Hazelnut Spread 12x350g,Gandola_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,14980,g,.0080808,,Admin Portal,Farm Boy,Breakfast,880,GANDOLA A. Gandola & C. S.P.A. Industria Alimentare Dolciaria,Genova,Farm Boy Hazelnut Spread 12x350g,982C,18.84,.0000111,.000028,.000026,11.1,28,26,547,96,,8,12,- None -,Pantry,Jams and Spreads,12,Retail,- None -,Yes,Yes,No,- None -,0,990,,,,850,,
- None -,3.5,XMASTRN55-CA,7323,Gioia Torrone Ricoperto (Chocolate Covered) 18x150g,Oliviero,Active-XMAS,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,3.1,kg,.012505192,,Admin Portal,Gioia,Seasonal Christmas,12627,GMF OLIVIERO GMF OLIVIERO F.LLI S.r.l.,- None -,Gioia Torrone Ricoperto (Chocolate Covered) 12x150g,- None -,24.30,.0000146,.0000322,.0000266,14.6,32.2,26.6,,110,110,11,10,- None -,Seasonal,Torrone,18,Retail - Seasonal,10779921290582,Yes,Yes,No,- None -,0,290.67,,,72,300,,
- None -,3.5,XMASTRN52-CA,7325,Gioia Torrone HARD with Almonds 18x150g,Oliviero,Active-XMAS,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,3.1,kg,.00667233,,Admin Portal,Gioia,Seasonal Christmas,12627,GMF OLIVIERO GMF OLIVIERO F.LLI S.r.l.,- None -,Gioia Torrone HARD with Almonds 18x150g,- None -,24.30,.000021,.0000267,.0000119,21,26.7,11.9,,110,110,11,10,- None -,Seasonal,Torrone,18,Retail - Seasonal,10779921290520,Yes,Yes,No,- None -,0,573,,,78,480,,
- None -,3.5,XMASTRN54-CA,7326,Gioia Torrone Soft With Hazelnuts 18x150g,Oliviero,Active-XMAS,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,3.1,kg,.012505192,,Admin Portal,Gioia,Seasonal Christmas,12627,GMF OLIVIERO GMF OLIVIERO F.LLI S.r.l.,- None -,Gioia Torrone Soft With Hazelnuts 18x150g,- None -,27.00,.0000146,.0000322,.0000266,14.6,32.2,26.6,,110,110,11,10,- None -,Seasonal,Torrone,18,Retail - Seasonal,10779921290575,Yes,Yes,No,- None -,0,734,,,84,740,,
- None -,3.5,XMASTRN53-CA,7324,Gioia Torrone Soft With Almonds 18x150g,Oliviero,Active-XMAS,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,3.1,kg,.012505192,,Admin Portal,Gioia,Seasonal Christmas,12627,GMF OLIVIERO GMF OLIVIERO F.LLI S.r.l.,- None -,Gioia Torrone Soft With Almonds 18x150g,- None -,24.408,.0000146,.0000322,.0000266,14.6,32.2,26.6,,110,110,11,10,- None -,Seasonal,Torrone,18,Retail - Seasonal,10779921290568,Yes,Yes,No,- None -,0,769,,,88,750,,
- None -,3.5,XMASTRN51-CA,7327,Gioia Torroncini Mini Assorted 8x150g,Oliviero,Active-XMAS,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,1.3,kg,.0099275,,Admin Portal,Gioia,Seasonal Christmas,12627,GMF OLIVIERO GMF OLIVIERO F.LLI S.r.l.,- None -,Gioia Torrincini Mini Assorted 8x150g,- None -,16.80,.000019,.000019,.0000275,19,19,27.5,547,176,176,11,16,- None -,Seasonal,Torrone,8,Retail - Seasonal,10779921290506,Yes,Yes,No,- None -,0,338,,,102,330,,
- None -,3.5,PAB003-CA,4037,Vita Sana Organic Yellow Lentil Casarecce 6x225g,GoviFarm,Active,0,0,0,0,0,,,589,589,589,589,589,589,0,648,,,,- None -,648,- None -,- None -,1500,g,.008631648,586,Admin Portal,Vita Sana,Pasta,912,GOVI FARM Zanichelli & Govi Srl,Livorno,Vita Sana Organic Yellow Lentil Casarecce 6x225g,VISACALG225,7.20,.0000172,.0000204,.0000246,17.2,20.4,24.6,1095,162,216,9,18,- None -,Pantry,Bean Pasta,6,Retail,10779921017097,Yes,Yes,Yes,- None -,0,3584,3,,,648,,
- None -,3.5,PAB002-CA,4036,Vita Sana Organic Red Lentil Penne 6x225g,GoviFarm,Active,0,0,0,0,0,,,658,658,658,658,658,658,0,648,,,,- None -,648,- None -,- None -,1530,g,.008631648,648,Admin Portal,Vita Sana,Pasta,912,GOVI FARM Zanichelli & Govi Srl,Livorno,Vita Sana Organic Red Lentil Penne 6x225g,VISAPELR225,6.90,.0000172,.0000204,.0000246,17.2,20.4,24.6,1095,162,216,9,18,- None -,Pantry,Bean Pasta,6,Retail,10779921017059,Yes,Yes,Yes,- None -,0,4450,10,,,648,,
- None -,3.5,PAB001-CA,4035,Vita Sana Organic Chickpea Fusilli 6x225g,GoviFarm,Active,0,0,0,0,0,,,788,788,788,788,788,788,0,648,,,,- None -,648,- None -,- None -,1530,g,.008631648,785,Admin Portal,Vita Sana,Pasta,912,GOVI FARM Zanichelli & Govi Srl,Livorno,Vita Sana Organic Chickpea Fusilli 6x225g,VISAFUCE225,6.48,.0000172,.0000204,.0000246,17.2,20.4,24.6,1095,162,216,9,18,- None -,Pantry,Bean Pasta,6,Retail,10779921017134,Yes,Yes,Yes,- None -,0,5019,3,,,648,,
- None -,3.5,BAKGIOIA04-CA,3490,Gioia S Biscuits 24x200g,Hollandia,Active,0,0,0,0,0,,,1909,1909,1909,1909,1909,1909,0,,,,,- None -,433,- None -,- None -,5450,g,.0321035,1878,Admin Portal,Gioia,"Crackers, Cookies, Snacks",947,HOLLAN Hollandia Bakeries Limited,Canada,Gioia S Biscuits 24x200g,130480-10,24.39,.000025,.0000449,.0000286,25,44.9,28.6,182,63,,7,9,- None -,Pantry,Cookies,24,Retail,10779921100904,Yes,Yes,Yes,- None -,0,8195,31,,,950,,
