Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Availble to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,PFLOUR02-CA,3870,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_Flour,Active,0,0,0,0,0,,,2152,2152,2152,2152,2152,2152,0,1302,671,4/18/2026,,- None -,2657,- None -,- None -,10650,g,.0244725,2075,Admin Portal,Vita Sana,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Vita Sana Enriched 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0148BOD,9.30,.000025,.000039,.0000251,25,39,25.1,365,63,60,7,9,- None -,Pantry,Flour and Baking Aids,10,Retail,10779921020011,Yes,Yes,Yes,- None -,0,11368,77,,,252,,
- None -,3.5,PFLOURFBA-CA,3444,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,,0,123,123,5/20/2026,,- None -,123,- None -,- None -,10570,g,.02039352,,Admin Portal,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy Enriched Durum Wheat Semolina 10x1Kg (Bag),1CA2400164BOD,11.30,.000021,.0000244,.0000398,21,24.4,39.8,365,63,,7,9,- None -,Pantry,Flour and Baking Aids,10,Private Label - FB,- None -,Yes,Yes,No,- None -,0,666,,,297,252,,
- None -,3.5,PFLOURFB-CA,3439,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),Agugiaro & Figna_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,,0,159,159,5/20/2026,,- None -,159,- None -,- None -,10570,g,.02039352,,Admin Portal,Farm Boy,Baking Ingredients,477,AGUGIARO Agugiaro & Figna Spa,Livorno,Farm Boy 00 Soft Wheat Flour 10x1Kg (Bag),1DARID0164BOD,9.30,.000021,.0000244,.0000398,21,24.4,39.8,365,63,,7,9,- None -,Pantry,Flour and Baking Aids,10,Private Label - FB,- None -,Yes,Yes,No,- None -,0,657,,,99,252,,
- None -,3.5,FPRM149A-CA,5490,R.M. Capers 12x105ml,Alguazas_Marinades,Active,0,0,0,0,0,,,17,17,17,17,17,17,0,,,,,- None -,300,- None -,- None -,2560,g,.00283185,17,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Capers 12x105ml,741,6.25,.0000087,.0000155,.000021,8.7,15.5,21,1092,288,,9,32,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921362913,Yes,Yes,No,- None -,0,525,,,,300,,
- None -,3.5,FPRM125-CA,3663,R.M. Fire Red Roasted Peppers 12x12oz,Alguazas_Marinades,Active,0,0,0,0,0,,,461,461,461,461,461,461,0,1071,1071,3/30/2026,,- None -,1836,- None -,- None -,6390,g,.008378556,458,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 12x12oz,N62I,11.50,.0000124,.0000303,.0000223,12.4,30.3,22.3,1457,153,,9,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921362104,Yes,Yes,Yes,- None -,0,6657,3,,,153,,
- None -,3.5,FPRM126-CA,3664,R.M. Fire Red Roasted Peppers 6x3Kg,Alguazas_Marinades,Active,0,0,0,0,0,,,81,81,81,81,81,81,0,,,,,- None -,,- None -,- None -,17290,g,.024244638,81,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Fire Red Roasted Peppers 6x3Kg,N635,32.00,.0000159,.0000478,.0000319,15.9,47.8,31.9,1095,63,,9,7,- None -,Pantry,Pickles and Antipasto,6,Retail,10779921362203,Yes,Yes,Yes,- None -,0,331,,,,63,,
- None -,3.5,FPRM120-FB-CA,3440,Farm Boy Artichoke Hearts 12x340ml,Alguazas_PL Farm Boy,Active - PL,0,0,0,0,0,,,,,,,,,0,648,648,3/30/2026,,- None -,648,- None -,- None -,7528,g,.008175,,Admin Portal,Farm Boy,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,Farm Boy Artichoke Hearts 12x340ml,7927,12.50,.0000125,.00003,.0000218,12.5,30,21.8,1095,162,,9,18,- None -,Pantry,Pickles and Antipasto,12,Private Label,- None -,Yes,Yes,No,- None -,0,1458,,,648,153,,
- None -,3.5,FPRM120-CA,3646,R.M. Artichoke Hearts 12x6oz,Alguazas_Marinades,Active,0,0,0,0,0,54,54,54,54,54,54,54,54,0,714,714,3/30/2026,,- None -,952,- None -,- None -,4470,g,.005051892,54,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x6oz,794I,8.00,.0000079,.0000292,.0000219,7.9,29.2,21.9,1092,238,,14,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921361053,Yes,Yes,Yes,- None -,0,2066,,54,,238,,
- None -,3.5,FPRM124-CA,3645,R.M. Artichoke Hearts 12x12oz,Alguazas_Marinades,Active,0,0,0,0,0,49,49,49,49,49,49,49,49,0,1071,1071,3/30/2026,,- None -,1683,- None -,- None -,6540,g,.008378556,49,Admin Portal,Regina Molisana,Condiments and Toppings,488,ALGUAZAS Alguazas Conservas S.L.,Genova,R.M. Artichoke Hearts 12x12oz,7926,12.50,.0000124,.0000303,.0000223,12.4,30.3,22.3,1092,153,,9,17,- None -,Pantry,Pickles and Antipasto,12,Retail,10779921361107,Yes,Yes,Yes,- None -,0,3023,,49,6,153,,
- None -,3.5,VLONGOFET02-CA,7109,Longos Curato Fettucine Egg Nest pasta 18x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,548,500,5/6/2026,,- None -,548,- None -,- None -,5000,g,.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Fettucine Egg Nest pasta 18x250g,LC094#2020218,12.51,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,18,Private Label - Longos,10772468047343,Yes,Yes,No,- None -,0,0,,,540,750,,
- None -,3.5,VLONGOTAG01-CA,7107,Longos Curato Tagliatelle Egg Nest pasta 20x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,,48,5/6/2026,,- None -,540,- None -,- None -,5000,g,.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Tagliatelle Egg Nest pasta 20x250g,LC093#2020220,13.90,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,20,Private Label - Longos,10772468047336,Yes,Yes,No,- None -,0,0,,,540,330,,
- None -,3.5,VLONGOPAP03-CA,7108,Longos Curato Pappardelle Egg Nest pasta 18x250g,Alguazas_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,578,443,5/6/2026,,- None -,578,- None -,- None -,5000,g,.0109344,,Admin Portal,Longos,Pasta,11271,Andalini PASTIFICIO ANDALINI SPA,Livorno,Longos Curato Pappardelle Egg Nest pasta 18x250g,LC096#2020218,12.51,.0000204,.000016,.0000335,20.4,16,33.5,730,100,,5,20,- None -,Pantry,Gnocchi,18,Private Label - Longos,10772468047350,Yes,Yes,No,- None -,0,0,,,540,280,,
- None -,3.5,PRM220-GF-CA,6228,RM Lasagna Gluten Free 12x250g,Andriani,Active,0,0,0,0,0,,,246,246,246,246,246,246,0,682,682,5/6/2026,,- None -,682,- None -,- None -,3740,g,.009614486,242,Admin Portal,Regina Molisana,Pasta,11243,ANDRIANI Andriani Spa,Salerno,RM Lasagna Gluten Free 12x250g,C420BD297,11.28,.0000199,.0000203,.0000238,19.9,20.3,23.8,1095,125,,5,25,- None -,Pantry,Specialty Cuts,12,Retail,10779921002239,Yes,Yes,Yes,- None -,0,1615,4,,,700,,
Do Not Reorder - Sell through/Make Inactive,3.5,LEMON02-CA,3540,Limmi (VS) Lemon Juice 12x200ml,B&G SRL (Limmi)_Lemon Juice,Do not Order,0,0,0,0,0,,,463,463,463,463,463,463,0,,,,,- None -,,- None -,- None -,2810,g,.0076551,456,Admin Portal,Limmi - Vita Sana,Juice,540,B&G B&G Srl (Limmi),Genova,Limmi (VS) Lemon Juice 12x200ml,110CA,5.16,.0000158,.000019,.0000255,15.8,19,25.5,365,242,180,11,22,- None -,Drinks,Shelf Stable Juices,12,Retail,641777111027,Yes,No,No,- None -,0,2741,7,,,1060,,
- None -,5,BACI104331486-CA,7014,Perugina Baci Quick Display 1x,Baci_Displayer,Active-Displayer,0,0,0,0,0,,,58,58,58,58,58,58,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,58,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Perugina Baci Quick Displayer 1x,104331486,17.16,.0000097,.0000106,.00002,9.7,10.6,20,9999,100,60,2,50,- None -,Pantry,Chocolate,1,Displayer,- None -,Yes,Yes,No,- None -,0,0,,,,100,,
- None -,3.5,BACI12597082-CA,7048,Baci Box Assorted Sparkling - Silver -  20Pcs  10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Seasonal Christmas,12190,BACI Baci Perugina,Livorno,Baci Box Assorted Sparkling - Silver -  20Pcs  10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail  - Chocolate,8000300410624,Yes,Yes,No,- None -,0,,,,,180,,
- None -,3.5,BACI104936513-CA,7025,Baci Perugina Displayer Header with Base (part 1 of 2),Baci_Displayer,Active-Displayer,0,0,0,0,0,,,14,14,14,14,14,14,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,14,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Perugina Displayer Header with Base (part 1 of 2),104936513,17.16,.0000097,.0000106,.00002,9.7,10.6,20,9999,100,60,2,50,- None -,Pantry,Chocolate,1,Displayer,- None -,Yes,Yes,No,- None -,0,0,,,,20,,
- None -,3.5,BACIDAMI150-PA,7316,Baci Combo Displayer Dark Box (20x6x150g) and Milk Box (20x6x150g) (half pallet),Baci_Chocolate,Active-Displayer,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,0,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Combo Displayer Dark Box (20x6x150g) and Milk Box (20x6x150g) (half pallet),- None -,67.353,0,0,0,0,0,0,,,,,,- None -,Pantry,Chocolate,40,Retail - Chocolate Costco,10779921779100,Yes,No,No,- None -,0,,,,,1,,
- None -,3.5,BACI12439675-CA,6961,Baci Box 12Pcs Original Dark 6x150g,Baci_Chocolate,Active,0,0,0,0,0,,,2134,2134,2134,2134,2134,2134,0,842,832,5/6/2026,,- None -,842,- None -,- None -,1100,g,.012614,1977,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BOX 12Pcs Original Dark 6x150g,12439675,19.925,.000017,.0000265,.000028,17,26.5,28,364,100,72,2,50,- None -,Pantry,Chocolate,6,Retail  - Chocolate,839456005457,Yes,Yes,Yes,- None -,0,169,152,,,875,,
- None -,3.5,BACI14507676-CA,7049,Baci Box Original Sparkling - Blue -  20Pcs  10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BLUE Original Sparkling Box - 20Pcs  10x250g,14507676,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300425024,Yes,Yes,No,- None -,0,,,,45,180,,
- None -,3.5,BACI14507207-CA,7329,Baci BIJOU Caramelized Almonds Box 12Pcs 10x175g,Baci_Chocolate,Active-XMAS,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BIJOU Caramelized Almonds Box 12Pcs 10x175g,14507207,33.23,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Pantry,Chocolate,10,Retail  - Chocolate,8000300444742,Yes,Yes,No,- None -,0,,,,37,260,,
DEVIATION LABELING AND REPACKING,3.5,BACI12532557-CA,6969,Perugina Egg Easter Milk 12x245g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,7,7,7,7,7,7,0,1,,,,- None -,1,- None -,- None -,3300,g,.12551328,7,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Perugina Egg Easter Milk 12x245g,12532557,73.20,.000054,.0000398,.0000584,54,39.8,58.4,364,100,8,2,50,- None -,Seasonal,Chocolate,12,Retail - EASTER Chocolate,8000300419443,Yes,Yes,No,- None -,0,,,,,30,,
DEVIATION LABELING AND REPACKING,3.5,BACI12565331-CA,6974,Baci Box Heart Original Dark 20x100g,Baci_Valentine Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2200,g,.04545808,,Admin Portal,Baci,Seasonal Valentines,12190,BACI Baci Perugina,Livorno,Baci Box Heart Original Dark 20x100g,12565331,100.20,.0000202,.0000388,.000058,20.2,38.8,58,364,100,20,2,50,- None -,Seasonal,Chocolate,20,Retail - VALENTINE Chocolate,8000300418217,Yes,Yes,No,- None -,0,41,,,,130,,
- None -,3.5,BACI12613345-CA,7052,Baci Box Caramelized Almonds Bijou 12Pcs 10x150g,Baci_Chocolate,Do not Order,0,0,0,0,0,,,5,5,5,5,5,5,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,5,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BIJOU Caramelized Almonds Bijou Box 12Pcs 10x150g,12439537,33.23,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Pantry,Chocolate,10,Retail  - Chocolate,8000300436457,No,No,No,- None -,0,,,,,260,,
- None -,3.5,BACI12363320-CA,6985,Perugina Bar Dark 51% 12x86g,Baci_Chocolate,Do not Order,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Perugina Bar Dark 51% 12x86g,12363320,17.16,.0000097,.0000106,.00002,9.7,10.6,20,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,839456004610,Yes,No,No,- None -,0,0,,,,490,,
- None -,3.5,BACI14510037-CA,7348,Perugina Baci Advent Calendar Ramb 10x245g,Baci_XMAS Chocolate,Active - Not Sellable,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2784,g,.04810575,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Perugina Baci Advent Calendar Ramb 10x245g,- None -,68.80,.0000425,.0000294,.0000385,42.5,29.4,38.5,273,16,16,2,8,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300441864,Yes,Yes,No,- None -,0,21,,,,,,
- None -,3.5,DSPBACISLIM-OT,7330,Baci Slim Displayer x1,Baci_Displayer,Active-Displayer,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,,- None -,,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Slim Displayer x1,- None -,.00,,,,,,,9999,,,,,- None -,Pantry,Displayer,1,Displayer,- None -,Yes,Yes,No,- None -,0,,,,,1,,
- None -,3.5,BACI104936519-CA,7023,Baci Perugina Displayer Buckets (part 2 of 2),Baci_Displayer,Active-Displayer,0,0,0,0,0,,,3,3,3,3,3,3,0,,,,,- None -,,- None -,- None -,1200,g,.0020564,3,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Perugina Displayer Buckets (part 2 of 2),104936519,17.16,.0000097,.0000106,.00002,9.7,10.6,20,9999,100,60,2,50,- None -,Pantry,Chocolate,1,Displayer,- None -,Yes,Yes,No,- None -,0,0,,,,20,,
- None -,3.5,BACI12439528-CA,6983,Baci Tube 3Pcs Original Dark 14x37.5g,Baci_Chocolate,Active,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,730,g,.0033264,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci TUBE 3Pcs Original Dark 14x37.5g,12439528,14.28,.0000084,.000015,.0000264,8.4,15,26.4,364,100,60,2,50,- None -,Pantry,Chocolate,14,Retail  - Chocolate,839456005495,Yes,Yes,No,- None -,0,0,,,,820,,
DEVIATION LABELING AND REPACKING,3.5,BACI12533665-CA,6971,Baci Egg Easter Original Dark 12x265g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,1,1,1,1,1,1,0,,,,,- None -,,- None -,- None -,3300,g,.12551328,1,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Original Dark 12x265g,12533665,86.52,.000054,.0000398,.0000584,54,39.8,58.4,364,100,8,2,50,- None -,Seasonal,Chocolate,12,Retail - EASTER Chocolate,8000300412260,Yes,Yes,Yes,- None -,0,22,,,,400,,
- None -,3.5,BACI14507077-CA,7047,Baci Box Assorted Sparkling - Gold -  20Pcs 10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Seasonal Christmas,12190,BACI Baci Perugina,Livorno,Baci GOLD Assorted Sparkling Box 10x250g,14507077,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8445292664981,Yes,Yes,No,- None -,0,,,,50,190,,
- None -,3.5,BACI12560167-CA,6977,Baci BAG Coffee 12x125g,Baci_Chocolate,Label,0,0,0,0,0,,,87,87,87,87,87,87,0,,,,,- None -,,- None -,- None -,1800,g,.015057504,87,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Coffee 12x125g,12560167,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,8000300421378,Yes,Yes,Yes,- None -,0,2,,,,330,,
- None -,3.5,BACI12531696-CA,6967,Baci Bag Easter Mini Eggs Assorted 20x150g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,2,2,2,2,2,2,0,,,,,- None -,,- None -,- None -,3300,g,.0219184,2,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci BAG Easter Mini Eggs Assorted 20x150g,12531696,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,- None -,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300352597,Yes,Yes,No,- None -,0,,,,,100,,
- None -,3.5,BACI12439610-CA,6960,Baci Box 12Pcs Milk 6x150g,Baci_Chocolate,Active,0,0,0,0,0,,,1039,1039,1039,1039,1039,1039,0,1074,1074,5/6/2026,,- None -,1300,- None -,- None -,1100,g,.012614,919,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BOX 12Pcs Milk 6x150g,12439610,29.25,.000017,.0000265,.000028,17,26.5,28,364,100,72,2,50,- None -,Pantry,Chocolate,6,Retail  - Chocolate,839456005433,Yes,Yes,Yes,- None -,0,156,111,,,875,,
DEVIATION LABELING AND REPACKING,3.5,BACI12534834-CA,6972,Baci Egg Easter Hazelnut 6x255g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,1800,g,.0648,,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Hazelnut 6x255g,12534834,55.44,.000054,.00003,.00004,54,30,40,364,100,16,2,50,- None -,Seasonal,Chocolate,6,Retail - EASTER Chocolate,8000300419993,Yes,Yes,Yes,- None -,0,3,,,,100,,
- None -,3.5,BACI14508708-CA,7328,Baci RED Original Sparkling Box - 20Pcs  10x250g,Baci_XMAS Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,2350,g,.0096348,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci RED Original Sparkling Box - 20Pcs  10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,- None -,Seasonal,Chocolate,10,Retail - XMAS Chocolate,839456009080,Yes,Yes,No,- None -,0,,,,52,180,,
DEVIATION LABELING AND REPACKING,3.5,BACI12533587-CA,6970,Baci Egg Easter Milk 12x265g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,1,1,1,1,1,1,0,,,,,- None -,,- None -,- None -,3300,g,.12551328,1,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Milk 12x265g,12533587,86.52,.000054,.0000398,.0000584,54,39.8,58.4,364,100,8,2,50,- None -,Seasonal,Chocolate,12,Retail - EASTER Chocolate,8000300412284,Yes,Yes,Yes,- None -,0,28,,,,100,,
- None -,3.5,BACI12405295-CA,6953,Baci Bag Original Dark 12x125g,Baci_Chocolate,Active,0,0,0,0,0,,,1317,1317,1317,1317,1317,1317,0,1,,,,- None -,1,- None -,- None -,1800,g,.015057504,1274,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Original Dark 12x125g,12405295,30.884,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,839456005679,Yes,Yes,Yes,- None -,0,76,43,,,1100,,
- None -,3.5,BACI12439386-CA,6956,Baci Bulk Original Dark 3x1Kg,Baci_Chocolate,Label,0,0,0,0,0,,,72,72,72,72,72,72,0,401,400,5/6/2026,,- None -,401,- None -,- None -,3300,g,.009078,15,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BULK Original Dark Choc 3x1KgBaci Bulk Original Dark 3x1Kg,12439386,56.70,.0000178,.000017,.00003,17.8,17,30,364,100,108,2,50,- None -,Pantry,Chocolate,3,Retail  - Chocolate,8000300388909,Yes,Yes,No,- None -,0,1,57,,,150,,
DEVIATION LABELING AND REPACKING,3.5,BACI12532528-CA,6968,Perugina Egg Easter Dark 12x245g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,,,,,,,0,1,,,,- None -,1,- None -,- None -,3300,g,.12551328,,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Perugina Egg Easter Dark 12x245g,12532528,73.20,.000054,.0000398,.0000584,54,39.8,58.4,364,100,8,2,50,- None -,Seasonal,Chocolate,12,Retail - EASTER Chocolate,8000300419429,Yes,Yes,No,- None -,0,,,,,30,,
DEVIATION LABELING AND REPACKING,3.5,BACI12531682-CA,6965,Baci Bag Easter Mini Eggs Milk 20x150g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,1,1,1,1,1,1,0,,,,,- None -,,- None -,- None -,3300,g,.0219184,1,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Bag Easter Mini Eggs Milk 20x150g,12531682,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,- None -,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300328424,Yes,Yes,No,- None -,0,,,,,100,,
- None -,3.5,DSPBACINUTC-OT,7228,Baci Nutcracker Image (empty) 48x24 Inch Full Colour Coro With Cardboard Easel,Baci_XMAS Chocolate,Active,0,0,0,0,0,,,78,78,78,78,78,78,0,,,,,- None -,,- None -,- None -,,- None -,,76,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Nutcracker Image (empty) 48x24 Inch Full Colour Coro With Cardboard Easel,- None -,17.888,,,,,,,9999,100,,2,50,- None -,Pantry,Displayer,1,Displayer,- None -,Yes,Yes,No,- None -,0,,2,,,,,
- None -,3.5,BACI12439598-CA,6959,Baci Bag Milk 12x125g,Baci_Chocolate,Active,0,0,0,0,0,,,1053.834,1053.834,1053.834,1053.834,1053.834,1053.834,0,,,,,- None -,,- None -,- None -,1800,g,.015057504,996.834,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Milk 12x125g,12439598,30.884,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,- None -,Pantry,Chocolate,12,Retail  - Chocolate,839456005655,Yes,Yes,Yes,- None -,0,97,57,,15,1100,,
- None -,3.5,BACI12497895-CA,6994,Baci Box 28Pcs Original Dark 6x350g,Baci_Chocolate,Label,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,3400,g,.022356,,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Box 28Pcs Original Dark 6x350g,12439754,61.50,.000023,.000027,.000036,23,27,36,364,100,60,2,50,- None -,Pantry,Chocolate,6,Retail  - Chocolate,8000300388763,Yes,Yes,No,- None -,0,,,,,1630,,
DEVIATION LABELING AND REPACKING,3.5,BACI12531685-CA,6966,Baci Bag Easter Mini Eggs Original Dark 20x150g,Baci_Easter Chocolate,Label,0,0,0,0,0,,,3,3,3,3,3,3,0,,,,,- None -,,- None -,- None -,3300,g,.0219184,3,Admin Portal,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Bag Easter Mini Eggs Original Dark 20x150g,12531685,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,- None -,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300298451,Yes,Yes,No,- None -,0,,,,,100,,
- None -,3.5,DSPBACIBOW-OT,7227,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,Baci_Displayer,Active-Displayer,0,0,0,0,0,,,81,81,81,81,81,81,0,,,,,- None -,,- None -,- None -,,- None -,,81,Admin Portal,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,104331486,17.16,,,,,,,9999,100,,2,50,- None -,Pantry,Displayer,1,Displayer,- None -,Yes,Yes,No,- None -,0,,,,,1,,
