Shipment Number,Vendor Reference,Container Number,Seal Number,Container Condition,Purchase Order,Item ID,Name,Description,Item Receipt,Receipt Date,Location,Bin Number,Lot Number,EXP DATE,Qty Expected,Qty Received,Memo,Last Free Date,Product Status
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3726,6860,OCOXV.10L56BB-CA,Colavita Pure Olive Oil Bag In Box 1x10L, #,,Signet Complex,,L26104,14/10/27,112,,,,Active
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3726,6860,OCOXV.10L56BB-CA,Colavita Pure Olive Oil Bag In Box 1x10L,,,Signet Complex,,L26112,22/10/27,524,,,,Active
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3726,6860,OCOXV.10L56BB-CA,Colavita Pure Olive Oil Bag In Box 1x10L,,,Signet Complex,,L26113,23/10/27,448,,,,Active
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3726,6860,OCOXV.10L56BB-CA,Colavita Pure Olive Oil Bag In Box 1x10L,,,Signet Complex,,L26114,24/10/27,560,,,,Active
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3726,6860,OCOXV.10L56BB-CA,Colavita Pure Olive Oil Bag In Box 1x10L,,,Signet Complex,,L26117,27/07/27,372,,,,Active
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3528,7203,OCOXVSEWC-CA,Colavita EV Olive Oil The 2026 Soccer Special Edition 6x500ml, #,,Signet Complex,,L26085,30/09/27,390,,,,Active
INBSHIP2806,385/00,TGBU 9653660,000820+21082,,PO3528,7203,OCOXVSEWC-CA,Colavita EV Olive Oil The 2026 Soccer Special Edition 6x500ml,,,Signet Complex,,L26086,27/09/27,234,,,,Active
