Item Name,Item ID,Display Name,Case UPC Code,Pallet Qty,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Maximum of Committed,Sum of On Hold,Sum of Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average
BAUPOS90000499-OT,7248,Bauducco Tree Topper,- None -,100,Bauducco_Marketing,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUPOS90000500-OT,7250,Bauducco Oversized Santa,- None -,100,Bauducco_Marketing,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUPOS90000502-OT,7249,Bauducco Chocottone Topper,- None -,100,Bauducco_Marketing,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUPOS90000506-OT,7245,Bauducco Displayer Train,- None -,100,Bauducco_Marketing,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUPOS90000508-EA,7251,Bauducco Pallet Wrap Roll,- None -,100,Bauducco_Marketing,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUPOS90000508-OT,7246,Bauducco Pallet Wrap Roll (Pack of 2),- None -,100,Bauducco_Marketing,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFCHO142-CA,6891,Bauducco Wafers Chocolate 18x142g,875754010083,160,Bauducco_Wafers,- None -,- None -,- None -,4,,,,,,,2100,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFCHOSS-CA,7173,Bauducco Wafer Single Serve 10 Pack Chocolate 6x400g,- None -,84,Bauducco_Wafers,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFHAZ142-CA,6895,Bauducco Wafers Hazelnut 18x142g,875754010113,160,Bauducco_Wafers,- None -,- None -,- None -,185,,,,,,,2100,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFHAZSS-CA,7175,Bauducco Wafer Single Serve 10 Pack Hazelnut 6x400g,- None -,84,Bauducco_Wafers,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFROLCH-CA,7122,Bauducco Wafer Rolls Chocolate Hazelnut TIN 12x400g,- None -,88,Bauducco_Wafers,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFROLVA-CA,7123,Bauducco Wafer Rolls Vanilla TIN 12x400g,- None -,88,Bauducco_Wafers,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFSTR142-CA,6893,Bauducco Wafers Strawberry 18x142g,875754010106,160,Bauducco_Wafers,- None -,- None -,- None -,2,,,,,,,600,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFVAN142-CA,6892,Bauducco Wafers Vanilla 18x142g,875754010090,160,Bauducco_Wafers,- None -,- None -,- None -,4,,,,,,,1700,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BAUWAFVANSS-CA,7172,Bauducco Wafer Single Serve 10 Pack Vanilla 6x400g,- None -,84,Bauducco_Wafers,- None -,- None -,- None -,62,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEBI01-CA,3467,Gioia Bitter (Red) 24x100ml (4x6Pack),779921921151,224,Polara,- None -,- None -,- None -,2,,,,,947,,2737,- None -,947,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
BEBI01-PA,6245,Gioia Bitter (Red) 224x(24x100ml) (4x6Pack),- None -,1,Molisana Imports_PL Costco,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEBI18-CA,3619,Niasca Limonata Cluster 24x250ml (6x4Pack),779921902020,91,Niasca_Beverages,- None -,- None -,- None -,4,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEBI19-CA,3621,Niasca Mandarinata Cluster 24x250ml (6x4Pack),779921902068,91,Niasca_Beverages,- None -,- None -,- None -,3,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEBI20-CA,3618,Niasca Festivo Cluster 24x250ml (6x4Pack),779921902129,91,Niasca_Beverages,- None -,- None -,- None -,3,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEBI21-CA,3615,Niasca Chinotto Cluster 24x250ml (6x4Pack),779921902167,91,Niasca_Beverages,- None -,- None -,- None -,5,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEDOR01-CA,3886,Vita Sana Nectars Peach 12x680ml,779921901108,90,Conserve Italia_Nectars,- None -,- None -,- None -,2,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEDOR02-CA,3888,Vita Sana Nectars Pear 12x680ml,779921901009,90,Conserve Italia_Nectars,- None -,- None -,- None -,3,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEDOR03-CA,3883,Vita Sana Nectars Apricot 12x680ml,779921901207,90,Conserve Italia_Nectars,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEDOR04-CA,3885,Vita Sana Nectars Peach 24x125ml (4x6Pack),779921991451,200,Conserve Italia_Nectars,- None -,- None -,- None -,,,,,,,,200,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEDOR05-CA,3887,Vita Sana Nectars Pear 24x125ml (4x6Pack),779921991352,200,Conserve Italia_Nectars,- None -,- None -,- None -,,,,,,,,400,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEFU01-CA,5374,Fiuggi Vivace Sparkling Water 6x1L,840368082122,100,Fiuggi,- None -,- None -,- None -,120,,,,,960,,4200,- None -,960,3/30/2026,19,.63,0,- None -,- None -,0,0,0,0,0
BEFU02-CA,5370,Fiuggi Natural Mineral Water 6x1L,840368082023,100,Fiuggi,- None -,- None -,- None -,76,,,,,1440,,9360,- None -,1440,3/30/2026,19,.63,0,- None -,- None -,0,0,0,0,0
BEFU07A-CA,7115,Fiuggi Natural Mineral Water Slim 6x500ml PET,693707000352,240,Fiuggi,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEFU09A-CA,7116,Fiuggi Sparkling Mineral Water Slim 6x500ml PET,693707000345,240,Fiuggi,- None -,- None -,- None -,,,,,,,,336,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BEGB02-CA,6875,Gioia Bitter (Red) 6x1L,779921900200,180,Polara,- None -,- None -,- None -,3,,,,,796,,1336,- None -,360,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
BOX101167S-OT,7240,Empty Box Portapanettone + Bott (L430mm x W240mm x H345mm) Seta Oro,- None -,100,Scotton_Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BOX130121S-OT,7241,Empty Box Portapanettone + Bott (L430mm x W240mm x H345mm) Fibra Blue,- None -,100,Scotton_Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BOX134947S-OT,7243,Empty Box Portapanettone + Bott (L520mm x W310mm x H355mm) Bordeaux Silk,- None -,100,Scotton_Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BOX138781S-OT,7242,Empty Box Portapanettone + Bott (L280mm x W200mm x H350mm) Skin Argento,- None -,100,Scotton_Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRCO06A-CA,3876,Vita Sana Freselle Integrali 12x400g,779921200362,50,Pascuzzo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRCO07-CA,3912,Vita Sana Whole Wheat Bruschette 15x400g,779921200362,50,Pascuzzo,- None -,- None -,- None -,,,,,,70,,70,- None -,70,4/12/2026,32,1.07,0,- None -,- None -,0,0,0,0,0
BRFB001-CA,3443,Farm Boy Artisanal Grissini Traditional 20x250g,- None -,64,Larte Dei Sapori_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
