Item Name,Item ID,Display Name,Case UPC Code,Pallet Qty,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Maximum of Committed,Sum of On Hold,Sum of Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average
COFGIO01-12PK-CA,3481,Gioia Espresso Coffee White 12x250g,779921570007,180,Labcaffe,- None -,- None -,- None -,6,,,,,1179,,1655,- None -,229,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
COFGIO02-12PK-CA,3480,Gioia Espresso Coffee Gold 12x250g,779921571004,180,Labcaffe,- None -,- None -,- None -,,,,,,951,,1427,- None -,489,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
COFGIO03-CA,3479,Gioia Espresso Coffee Beans 12x1Kg,779921572001 + 8007387001035,40,Labcaffe,- None -,- None -,- None -,1,,,,,,,180,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER009CAN-CA,3858,Vergnano Granaroma  Whole Bean 6x1Kg,8001800000094,96,Vergnano,- None -,- None -,- None -,1,,,,,,,224,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER048CAN-CA,5169,Vergnano Anticabottega Whole Bean 6x1Kg,8001800000483,112,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER051-CA,6722,Vergnano Arabica Decaffeinated Whole Bean 6x1Kg,8001800000513,84,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER052-CA,3853,Vergnano Crema 800 Whole Bean 6x1Kg,8001800000520,112,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER054CAN-CA,6979,Vergnano Granaroma Whole Bean 6x500g,8001800000803,120,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER058CA-CA,6721,Vergnano 100% Arabica Whole Beans 12x250g,- None -,140,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER103CAN-CA,6978,Vergnano Anticabottega Whole Bean 6x500g,- None -,140,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER150-CA,3856,Vergnano Decaffinated Espresso Tin 6x250g,8001800001503,140,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER15306-CA,3850,Vergnano Arabica Moka Tin 6x250g,- None -,176,Vergnano,- None -,- None -,- None -,,,,,,,,40,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER15406-CA,3849,Vergnano Arabica Espresso Tin 6x250g,764583001532,240,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER15406CAN-CA,6717,Vergnano Arabica 100% Fine Grind Tin 12x250g,- None -,176,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER1601CA-CA,6725,Vergnano 1882 Original Blend Whole Bean PET 2x2.5Kg,- None -,60,Vergnano,- None -,- None -,- None -,6,,,,,150,,150,- None -,60,4/1/2026,21,.7,0,- None -,- None -,0,0,0,0,0
COFVER181CAN-CA,5168,Vergnano Anticabottega Moka 12x250g,8001800001824,288,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER198-CA,3859,Vergnano Granaroma Moka Ground Brick 12x250g,- None -,200,Vergnano,- None -,- None -,- None -,3,,,,,,,96,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER455CA-CA,6718,Vergnano 100% Arabica Made in Eataly Tin 12x250g,- None -,96,Vergnano,- None -,- None -,- None -,,,,,,20,,20,- None -,20,4/1/2026,21,.7,0,- None -,- None -,0,0,0,0,0
COFVER456CA-CA,6719,Vergnano Decaf Made in Eataly Tin 12x250g,8001800004566,96,Vergnano,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER5476-CA,3848,Vergnano Arabica Espresso 6x10 Capsules,764583006278,168,Vergnano,- None -,- None -,- None -,1,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER5486-CA,3854,Vergnano Cremoso Espresso 6x10 Capsules,- None -,168,Vergnano,- None -,- None -,- None -,4.5,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFVER5556-CA,3860,Vergnano Napoli Espresso 6x10 Capsules,764583005554,168,Vergnano,- None -,- None -,- None -,14,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
DELROV049CD-CA,1192,Rovagnati Prosciutto Cotto Gran Biscotto Classic (2Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,6,,,,,3876.953,,3876.953,- None -,3876.953,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROV194CD-CA,3719,Rovagnati SPECK Prosciutto (2Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,316.918,,316.918,- None -,116.918,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROV250CD-CA,3718,Rovagnati Sgrassatella (1Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,3,,,,,207.356,,207.356,- None -,207.356,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVG33CD-CA,6001,Rovagnati Salame Napoli,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,778.754,,778.754,- None -,500,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVG37CD-CA,6000,Rovagnati Salame Milano,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,795.478,,795.478,- None -,795.478,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVGL0CD-CA,3707,Rovagnati Porchetta Smaller Cuts (2Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,3,,,,,953.37,,953.37,- None -,953.37,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVGT4CD-CA,3713,Rovagnati Prosciutto Gran Milano 14 Month (1Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
DELROVGV9CD-CA,1194,Rovagnati Prosciutto Cotto Gran Sapore (2Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,2848.51,,2848.51,- None -,2848.51,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVU87CD-CA,3706,Rovagnati PISTACCHIO Gran Mortadella (2Pc) Per/Kg,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,1085.76,,1085.76,- None -,335.76,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVU88CD-CA,6150,Rovagnati Gran Mortadella Massima 2x3Kg,- None -,100,Rovagnati,- None -,- None -,- None -,16,,,,,4173.66,,4173.66,- None -,4173.66,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVUO7CD-CA,6003,Rovagnati Salame Ventricina,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,867.484,,867.484,- None -,300,3/21/2026,10,.33,0,- None -,- None -,0,0,0,0,0
DELROVUS9CD-CA,6861,Rovagnati Salami Fennel,- None -,100,Rovagnati,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
DELROVUZ1CD-CA,7188,Longos Curato Prosciutto Cotto Gran Sapore (2Pc) Per/Kg,- None -,100,Rovagnati_PL Longos,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
DSPBACIBOW-OT,7227,Baci Bow Image Display (empty) 31.5x20 Inch PVC 10 Inch Extra Fold at 90 Degrees,- None -,100,Baci_Displayer,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FBGAN01-CA,3450,Farm Boy Hazelnut Spread 12x350g,- None -,96,Gandola_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FBTRUF01-CA,3455,Farm Boy Truffle Flavoured Grapedseed Oil 12x100ml,- None -,180,Le Ife_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FBTRUF02-CA,3456,Farm Boy Truffle Flavoured Sea Salts 12x100ml,- None -,270,Le Ife_PL Farm Boy,- None -,- None -,- None -,,,,,,50,,50,- None -,50,4/12/2026,32,1.07,0,- None -,- None -,0,0,0,0,0
FER33-CA,4428,Ferrarelle Sparkling Water 24x330ml,8006290800117,84,Ferrarelle,- None -,- None -,- None -,5,,,,,,,588,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FER33N-CA,4788,Ferrarelle Still Water 24x330ml,8006290805341,84,Ferrarelle,- None -,- None -,- None -,5,,,,,,,840,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FER75-S-CA,4430,Ferrarelle Sparkling Water 12x750ml,8006290800605,75,Ferrarelle,- None -,- None -,- None -,9,,,,,,,375,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FER75N-CA,4789,Ferrarelle Still Water 12x750ml,8006290805334,75,Ferrarelle,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FILMGIOIASB-OT,7069,Gioia S Biscuits Film,- None -,100,Carta Stampa_Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPCOL15-CA,1156,Colavita Hazelnut Chopped Roasted 8x4.4lb,- None -,100,Colavita USA_Hazelnuts,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPCOL16-CA,1157,Colavita Hazelnut Whole Roasted 8x4.4lb,- None -,100,Colavita USA_Hazelnuts,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPFB001-CA,3454,Farm Boy Olives Green Cerignola 12x580ml,- None -,84,Iposea_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPIP254-CA,3649,R.M. Artichokes Grilled 12x580g,- None -,110,Colavita Italy_Other,- None -,- None -,- None -,,,,,,121,,242,- None -,121,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
FPIP256-CA,3694,R.M. Sundried Tomatoes 12x314ml,779921321104,170,Iposea_Marinades,- None -,- None -,- None -,6,,,,,,,1000,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPIP258-CA,3650,R.M. Artichokes Stemmed 12x580ml,779921320602,98,Iposea_Marinades,- None -,- None -,- None -,4,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPIP259-CA,3682,R.M. Olives Green Cerignola 12x580ml,779921320800,98,Iposea_Olives,- None -,- None -,- None -,202,,,,,,,624,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPRM01-CA,3651,R.M. Baby Clams 6x270g,- None -,252,Flott,- None -,- None -,- None -,31,,,,,400,,800,- None -,400,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
FPRM120-CA,3646,R.M. Artichoke Hearts 12x6oz,779921361056,238,Alguazas_Marinades,- None -,- None -,- None -,3,,,,,,,714,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPRM120-FB-CA,3440,Farm Boy Artichoke Hearts 12x340ml,- None -,162,Alguazas_PL Farm Boy,- None -,- None -,- None -,,,,,,,,648,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPRM124-CA,3645,R.M. Artichoke Hearts 12x12oz,779921361100,153,Alguazas_Marinades,- None -,- None -,- None -,7,,,,,,,1071,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPRM125-CA,3663,R.M. Fire Red Roasted Peppers 12x12oz,- None -,153,Alguazas_Marinades,- None -,- None -,- None -,2,,,,,,,918,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPRM126-CA,3664,R.M. Fire Red Roasted Peppers 6x3Kg,779921362206,63,Alguazas_Marinades,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPRM149A-CA,5490,R.M. Capers 12x105ml,779921362916,288,Alguazas_Marinades,- None -,- None -,- None -,,,,,,,,300,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA022-CA,3656,R.M. Eggplant Hot In Oil 12x375ml,779921310238,144,Livabec,- None -,- None -,- None -,,,,,,,,511,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA023-CA,3659,R.M. Eggplant Mild In Oil 12x375ml,779921320237,144,Livabec,- None -,- None -,- None -,1,,,,,,,636,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA024-CA,3658,R.M. Eggplant Hot In Oil 12x750ml,779921310269,77,Livabec,- None -,- None -,- None -,1,,,,,,,168,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA025-CA,3661,R.M. Eggplant Mild In Oil 12x750ml,779921320268,77,Livabec,- None -,- None -,- None -,1,,,,,,,269,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA028-CA,3666,R.M. Hot Sliced Peppers 12x250ml,779921325133,192,Livabec,- None -,- None -,- None -,,,,,,,,192,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA030-CA,3676,R.M. Mushrooms Hot In Oil 12x250ml,779921310016,192,Livabec,- None -,- None -,- None -,2,,,,,,,384,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA031-CA,3679,R.M. Mushrooms Mild In Oil 12x250ml,779921320015,192,Livabec,- None -,- None -,- None -,1,,,,,,,576,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA055-CA,3657,R.M. Eggplant Hot In Oil 2x4L,- None -,84,Livabec,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA056-CA,3660,R.M. Eggplant Mild In Oil 2x4L,- None -,84,Livabec,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA057-CA,3677,R.M. Mushrooms Hot In Oil 2x4L,- None -,84,Livabec,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA058-CA,3678,R.M. Mushrooms Mild In Oil 2x4L,779921310054,84,Livabec,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA059-CA,3642,R.M. Antipasto (Giardiniera) Hot 12x375ml,779921371000,144,Livabec,- None -,- None -,- None -,1,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA060-CA,3643,R.M. Antipasto (Giardiniera) Mild 12x375ml,779921371024,144,Livabec,- None -,- None -,- None -,3,,,,,,,500,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA065A-CA,3674,R.M. Muffuletta Mild 12x500ml,779921372014,102,Livabec,- None -,- None -,- None -,4,,,,,,,848,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA066A-CA,3672,R.M. Muffuletta Hot 12x500ml,779921372052,102,Livabec,- None -,- None -,- None -,3,,,,,,,967,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA069A-CA,3554,Longos Muffuletta Original 12x500ml,- None -,102,Livabec_PL Longos,- None -,- None -,- None -,,,,,,,,306,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA069B-CA,3553,Longos Muffuletta Mild 12x500ml,- None -,102,Livabec_PL Longos,- None -,- None -,- None -,,,,,,,,510,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA070-CA,3452,Farm Boy Muffuletta Mild 12x500g,- None -,102,Livabec_PL Farm Boy,- None -,- None -,- None -,,,,,,,,204,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA070C-CA,6620,Longos Curato Hot Sliced Peppers 12x250ml,- None -,250,Livabec_PL Longos,- None -,- None -,- None -,,,,,,,,384,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA071-CA,3453,Farm Boy Muffuletta Spicy 12x500g,- None -,102,Livabec_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA375-CA,3673,R.M. Muffuletta Mild 2x4L,- None -,84,Livabec,- None -,- None -,- None -,,,,,,,,168,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
FPVA375A-CA,3671,R.M. Muffuletta Hot 2x4L,- None -,84,Livabec,- None -,- None -,- None -,,,,,,,,84,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
GNOCCHI-CA,3877,Vita Sana Gnocchi 10x500g,779921116113,147,Ciemme_Gnocchi,- None -,- None -,- None -,7,,,,,3270,,5835,- None -,1000,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
GNOCCHI05-CA,3878,Vita Sana Gnocchi Bulk 6x1Kg,779921106121,120,Ciemme_Gnocchi,- None -,- None -,- None -,79,,,,,7280,,9780,- None -,2244,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
GNOCCHI10-CA,3880,Vita Sana Gnocchi Gluten Free 12x500g,779921116175,100,Ciemme_Gnocchi,- None -,- None -,- None -,28,,,,,1820,,1820,- None -,1820,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
GNOCCHI10FB-CA,3449,Farm Boy Gnocchi Gluten Free 12x500g,- None -,140,Ciemme_PL Farm Boy,- None -,- None -,- None -,,,,,,,,800,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
GNOCCHICAULI-CA,6812,Vita Sana Gluten Free Cauliflower Gnocchi 8x500g,779921116137,85,Ciemme_Gnocchi,- None -,- None -,- None -,1,,,,,512,,1912,- None -,512,3/22/2026,11,.37,0,- None -,- None -,0,0,0,0,0
GNOCCHICAULIFB-CA,7053,Farm Boy  Cauliflower Gnocchi 8x500g,- None -,100,Ciemme_PL Farm Boy,- None -,- None -,- None -,,,,,,,,320,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
GNOCCHIFB-CA,3448,Farm Boy Gnocchi 10x500g,- None -,108,Ciemme_PL Farm Boy,- None -,- None -,- None -,,,,,,,,1176,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
GNOCCHIMASS-CA,3562,Massimo Gnocchi 10x500g,- None -,140,Ciemme/Maffei_ Massimo,- None -,- None -,- None -,588,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
LEMON02-CA,3540,Limmi (VS) Lemon Juice 12x200ml,641777111010,242,B&G SRL (Limmi)_Lemon Juice,- None -,- None -,- None -,26,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOAVOCA-CA,6883,Colavita Avocado Oil 6x750ml (Timeless),39153431836,120,Colavita Italy_Oil,- None -,- None -,- None -,157,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOGRAPE01-CA,1158,Colavita Oil GRAPESEED 6x750ml,39153100992,120,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOSPRAVO-CA,6559,Colavita Spray Avocado Oil 6x148ml,39153431041,240,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOSPRGAR-CA,6555,Colavita SPRAY EV Olive Oil GARLIC 6x148ml,39153430082,240,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOSPRORG-CA,6553,Colavita Spray EV Olive Oil Organic 6x148ml,39153431027,240,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOSPRPRE-CA,6551,Colavita Spray EV Olive Oil Premium 6x148ml,39153431539,240,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV-6PK-CA,3662,R.M. Extra Virgin Olive Oil 6x1L,779921601053,100,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,100,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV-ORGANIC-CA,1177,Colavita EV Olive Oil ORGANIC 6x500ml,39153100404,125,Colavita Italy_Oil,- None -,- None -,- None -,60,,,,,,,180,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV.10CAN-CA,1059,Colavita Oil Canola (80) / EV Olive (20) 1x10L (Bag in Box),- None -,64,Colavita USA_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV.10L56BB-CA,6860,Colavita Pure Olive Oil Bag In Box 1x10L,- None -,72,Colavita USA_Oil,- None -,- None -,- None -,315,,,,,2795,,2795,- None -,1344,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
OCOXV.1L147TIMELESS-CA,7017,COL Premium ITALIAN EVOliveOil 6x1lT,39153011410,96,Colavita Italy_Oil,- None -,- None -,- None -,40,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV.5-6pk-CA,6482,Colavita Extra Virgin Olive Oil 6x500ml (Timeless),39153010031,180,Colavita Italy_Oil,- None -,- None -,- None -,2,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV.500L71TIMELESS-CA,7016,COL Premium ITALIAN EVOliveOil 6x500ml,39153010215,180,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV.75L22TIMELESS-CA,1163,Colavita Premium Italian  EV Olive Oil 6x750ml (Timeless),39153010109,120,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,280,,280,- None -,280,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
OCOXV.TINL10ITTIMELESS-CA,7018,COL Premium ITALIAN EVOliveOil 4X3LT TIN,39153011434,90,Colavita Italy_Oil,- None -,- None -,- None -,2,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXV1TIMELESS-CA,1166,Colavita Extra Virgin Olive Oil 6x1L (Timeless),39153010024,96,Colavita Italy_Oil,- None -,- None -,- None -,24,,,,,1688,,3816,- None -,336,3/23/2026,12,.4,0,- None -,- None -,0,0,0,0,0
OCOXV3T-CA,1167,Colavita Extra Virgin Olive Oil 4x3L (Tin),39153010017,90,Colavita Italy_Oil,- None -,- None -,- None -,3,,,,,90,,90,- None -,90,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
OCOXVBAS-CA,1168,Colavita EV Olive Oil Basil 6x250ml (Timeless),39153100268,238,Colavita Italy_Oil,- None -,- None -,- None -,1,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVCAL-CA,1169,Colavita EV Olive Oil California 6x750ml (Timeless),- None -,120,Colavita USA_Oil,- None -,- None -,- None -,,,,,,,,240,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVCERAMIC-CA,1170,Colavita EV Olive Oil Premium Italian 6x250ml (Ceramic Jar),39153100381,155,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVGAR-CA,1173,Colavita EV Olive Oil Garlic 6x250ml (Timeless),39153100503,238,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVGRE01-CA,1174,Colavita EV Olive Oil GREEK 6x750ml (Timeless),39153100862,140,Colavita Italy_Oil,- None -,- None -,- None -,1,,,,,559,,1539,- None -,279,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
OCOXVLEM-CA,1175,Colavita EV Olive Oil Lemon 6x250ml (Timeless),39153100251,238,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVMED-CA,1176,Colavita EV Olive Oil Mediterranean 6x750ml (Timeless),39153100879,140,Colavita Italy_Oil,- None -,- None -,- None -,3,,,,,,,280,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVMED-CA-1.5LT PET,6862,Colavita (PET)  EV Olive Oil Mediteranean 6x1.5L,39153431485,80,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVPEP-CA,1178,Colavita EV Olive Oil PEPPER 6x250ml (Timeless),- None -,287,Colavita Italy_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVPOR-CA,1179,Colavita EV Olive Oil PORTUGAL 6x750ml (Timeless),39153011526,120,Colavita Italy_Oil,- None -,- None -,- None -,61,,,,,279,,279,- None -,139,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
OCOXVSEWC-CA,7203,Colavita EV Olive Oil The 2026 World Cup Special Edition 6x500ml,039153432321,84,Colavita_Special,- None -,- None -,- None -,,,,,,910,,12500,- None -,910,3/24/2026,13,.43,0,- None -,- None -,0,0,0,0,0
OCOXVSPN-CA,1180,Colavita EV Olive Oil SPANISH 6x750ml (Timeless),39153010147,120,Colavita Italy_Oil,- None -,- None -,- None -,149,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OCOXVTAR-CA,1181,Colavita EV Olive Oil TRUFFLE 6x250ml (Timeless),39153100398,238,Colavita Italy_Oil,- None -,- None -,- None -,5,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OOIL011-CA,7117,O California Premium EVOO  (Plastic Squeeze Bottle) 6x500ml,- None -,224,Colavita USA_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OOIL051-CA,6792,O Meyer Lemon Crushed Olive Oil 6x250ml,634039050011,252,Colavita USA_Oil,- None -,- None -,- None -,34,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OOIL052-CA,6793,O Blood Orange Crushed Olive Oil 6x250ml,634039050028,252,Colavita USA_Oil,- None -,- None -,- None -,36,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OOIL053-CA,6794,O Roasted Garlic Crushed Olive Oil 6x250ml,- None -,252,Colavita USA_Oil,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OOIL101-CA,6795,O Champagne Vinegar 6x300ml,634039350081,250,Colavita USA_Vinegar,- None -,- None -,- None -,122,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
OOIL102-CA,6796,O Citrus Champagne Vinegar 6x300ml,634039350111,250,Colavita USA_Vinegar,- None -,- None -,- None -,55,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
