Item Name,Item ID,Display Name,Product Status,Core Item Category,Units,Size,Case UPC Code,Pallet Qty,LCL Listed,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Available to Promise,Maximum of Committed,Sum of On Hold,Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),Inspection,Label,Deviation,On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average,Maximum of Shelf Life in Days
VERMKT99172-OT,6132,Vergnano Lid for Disposable Cup,Active-Marketing,- None -,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
VERMKT99177-OT,7094,Vergnano Takeaway Cups (Medium 9oz) 20x50Pcs,Active-Marketing,37. General Merchandise,1, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
VERMKT99178-OT,6727,VERGNANO TAKE AWAY SLEEVES LARGE (12 oz - 500) CODE 99178,Active-Marketing,- None -,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
VERMKT99179-OT,6728,VERGNANO TAKE AWAY SLEEVES LARGE (8 oz -500) CODE 99179,Active-Marketing,42. Packaging,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
VERMKT99186-OT,7095,Vergnano Takeaway Cups (Large 14oz) 20x50Pcs,Active-Marketing,37. General Merchandise,1,0 lb,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
VERMKT99208H-OT,5798,Vergnano Black Cups 6 Cupsx2.5oz,Active-Marketing,42. Packaging,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
VERMKT99209H-OT,5811,Vergnano Cappuccino Black Cup6x8,Active-Marketing,- None -,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
VERMKT99210H-OT,5812,Caffe Vergnano Black Chocolate Set,Active-Marketing,- None -,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
VERMKT99921-OT,6134,Vergnano Cup & Saucer,Active-Marketing,- None -,, ,- None -,100,No,Vergnano Marketing,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,9999
VIBA.5-6PK-CA,7366,Colavita Balsamic Vinegar of Modena 6x500ml,Part,20. Vinegars,6, ,39153413009,,No,Colavita_Vinegar,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1825
VIBA.5-CA,1184,Colavita Balsamic Vinegar of Modena 12x500ml,Active,20. Vinegars,12,11080 g,39153413009,102,Yes,Colavita_Vinegar,- None -,- None -,- None -,- None -,36,,,,,952,,4046,- None -,952,9/2/2026,-14,-.47,0,,,,- None -,- None -,0,0,0,0,0,1825
VIBA.5LT-CA,1185,Colavita Balsamic Vinegar of Modena 2x5L,Do not Order,38. Food Service,2,11278 g,8001876570064,,Yes,Colavita_Vinegar,- None -,- None -,- None -,- None -,3,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VIBAGLAZEV72-CA,6885,Colavita Balsamic Glaze 6x250ml (Plastic),Do not Order,20. Vinegars,6,2040 g,- None -,126,No,Colavita_Vinegar,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
VIBAV24-CA,4200,Colavita Balsamic Aged Vinegar IGP 6x250ml,Do not Order,20. Vinegars,6, ,- None -,126,No,Colavita_Vinegar,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VIBGLAZEV332-CA,7132,Colavita Balsamic Glaze 2x32oz,Active,20. Vinegars,2,2494 g,- None -,370,No,Colavita USA_Vinegar,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VINWB01-CA,3696,R.M. White Vinegar of Modena 12x500ml,Active,20. Vinegars,12,12190 g,779921363869,110,Yes,Denigris,- None -,- None -,- None -,- None -,1,,,,,,,660,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1825
VIPW.5LT-CA,7319,Colavita Wine Vinegar Prosecco 2x5L,Active,38. Food Service,2,10659 g,039153413696,105,No,Colavita USA_Vinegar,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
